index,MMM,month,year,station_name,code_merge,station_code,merge_cod,weath_days_frost,weath_humidity,weath_maxLevel,weath_midLevel,weath_minLevel,weath_days_rain,weath_days_rain1mm,weath_accuRainfall,weath_10minRainfall,weath_1dayRainfall,weath_solar,weath_meanTemp,weath_maxTemp,weath_maxMeanTemp,weath_minTemp,weath_meanWindM,weath_maxWindM,weath_meanDayMaxWind
1002,MAR,3,2017,Eskas,C0F1_Eskas_2017_MAR,C0F1,C0F1_Eskas_2017_MAR,0.429664207,72.94047264,0.906899943,0.349660256,0.194044135,15.21872893,11.26447886,111.3202665,3.319650288,28.63859983,12.50935895,13.10870987,26.47520371,18.13216993,8.547027221,10.3694834,73.75349919,40.10643837
1371,ABR,4,2017,Galdakao,C009_Galdakao_2017_ABR,C009,C009_Galdakao_2017_ABR,1.427662368,74.44310666,0.853208382,0.352363526,0.193061116,15.07771217,11.09115154,111.0096837,3.286345255,29.82818639,12.51752656,13.15023426,26.72288121,18.12587004,8.425485688,10.45246481,74.47891782,40.13599759
1411,ABR,4,2017,Eskas,C0F1_Eskas_2017_ABR,C0F1,C0F1_Eskas_2017_ABR,1.427662368,74.44310666,0.853208382,0.352363526,0.193061116,15.07771217,11.09115154,111.0096837,3.286345255,29.82818639,12.51752656,13.15023426,26.72288121,18.12587004,8.425485688,10.45246481,74.47891782,40.13599759
1780,MAY,5,2017,Galdakao,C009_Galdakao_2017_MAY,C009,C009_Galdakao_2017_MAY,1.491676804,79.98145067,0.868900626,0.370587763,0.192115559,15.19373627,11.09893227,107.6081088,3.170888153,27.373816,12.55125865,13.04094561,26.19495,18.21474396,8.396147024,11.04929454,74.69131497,40.16086763
1820,MAY,5,2017,Eskas,C0F1_Eskas_2017_MAY,C0F1,C0F1_Eskas_2017_MAY,1.491676804,79.98145067,0.868900626,0.370587763,0.192115559,15.19373627,11.09893227,107.6081088,3.170888153,27.373816,12.55125865,13.04094561,26.19495,18.21474396,8.396147024,11.04929454,74.69131497,40.16086763
2189,JUN,6,2017,Galdakao,C009_Galdakao_2017_JUN,C009,C009_Galdakao_2017_JUN,1.371912859,83.29845609,0.900924362,0.353958434,0.19295092,15.40985062,11.26606166,110.2976898,3.35266694,27.66062419,12.57001962,12.87452575,25.78166255,18.14813726,8.544094955,11.39805331,74.25973732,40.16645322
2229,JUN,6,2017,Eskas,C0F1_Eskas_2017_JUN,C0F1,C0F1_Eskas_2017_JUN,1.371912859,83.29845609,0.900924362,0.353958434,0.19295092,15.40985062,11.26606166,110.2976898,3.35266694,27.66062419,12.57001962,12.87452575,25.78166255,18.14813726,8.544094955,11.39805331,74.25973732,40.16645322
2638,JUL,7,2017,Eskas,C0F1_Eskas_2017_JUL,C0F1,C0F1_Eskas_2017_JUL,1.311299372,84.11019877,0.919155018,0.355508223,0.196053189,16.23388677,11.97953787,111.299347,3.428956521,27.70049683,12.5459102,12.86874454,25.84216473,18.22414114,8.528843434,11.5321129,74.34274995,40.16199492
3047,AGO,8,2017,Eskas,C0F1_Eskas_2017_AGO,C0F1,C0F1_Eskas_2017_AGO,1.282085048,84.39913625,0.900306406,0.346285763,0.19360918,15.3708753,11.30808357,110.7321849,3.381348792,27.86893462,12.55515474,12.81499255,25.80675064,18.21712651,8.481970879,11.51999988,74.32519951,40.1632781
3456,SET,9,2017,Eskas,C0F1_Eskas_2017_SET,C0F1,C0F1_Eskas_2017_SET,1.113678276,85.17064089,0.887726918,0.340372355,0.190399558,14.72088023,10.86370807,110.3725818,3.400172027,27.95066794,12.57096336,12.76429939,25.69649297,18.21199065,8.456998907,11.56832796,74.30212462,40.16137945
2598,JUL,7,2017,Galdakao,C009_Galdakao_2017_JUL,C009,C009_Galdakao_2017_JUL,0,84.77201968,0.916346455,0.359940164,0.188171537,16.08701205,12.09357312,114.5465569,3.465484698,26.51805673,12.57469883,12.89219388,25.7122637,18.23042116,8.789825066,11.80856494,74.01674594,40.18649369
4908,ENE,1,2016,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2016_ENE,C0C4,C0C4_Sodupe-Cadagua_2016_ENE,0.948696508,78.00210554,0.68,0.39,0.213032175,15.81571772,11.57979831,107.6678589,3.164834895,25.97183822,12.52318741,13.05821089,26.28654274,18.12567896,8.551259882,10.85028421,74.89814142,40.13447886
4909,ENE,1,2017,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2017_ENE,C0C4,C0C4_Sodupe-Cadagua_2017_ENE,0.948696508,78.00210554,1.669,0.495,0.22908693,15.81571772,11.57979831,107.6678589,3.164834895,25.97183822,12.52318741,13.05821089,26.28654274,18.12567896,8.551259882,10.85028421,74.89814142,40.13447886
4910,ENE,1,2018,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2018_ENE,C0C4,C0C4_Sodupe-Cadagua_2018_ENE,0.948696508,78.00210554,1.635,0.647,0.246324854,15.81571772,11.57979831,107.6678589,3.164834895,25.97183822,12.52318741,13.05821089,26.28654274,18.12567896,8.551259882,10.85028421,74.89814142,40.13447886
4912,FEB,2,2016,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2016_FEB,C0C4,C0C4_Sodupe-Cadagua_2016_FEB,0.538754998,74.99058834,1.905,0.584,0.267522295,14.21211618,10.86772486,112.3807504,3.226162714,29.34623683,12.51976915,13.12658672,26.48084021,18.11950966,8.568163597,10.57275342,74.20439333,40.10789519
4913,FEB,2,2017,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2017_FEB,C0C4,C0C4_Sodupe-Cadagua_2017_FEB,0.538754998,74.99058834,0.814,0.413,0.225596237,14.21211618,10.86772486,112.3807504,3.226162714,29.34623683,12.51976915,13.12658672,26.48084021,18.11950966,8.568163597,10.57275342,74.20439333,40.10789519
4914,FEB,2,2018,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2018_FEB,C0C4,C0C4_Sodupe-Cadagua_2018_FEB,0.538754998,74.99058834,1.508,0.833,0.249125945,14.21211618,10.86772486,112.3807504,3.226162714,29.34623683,12.51976915,13.12658672,26.48084021,18.11950966,8.568163597,10.57275342,74.20439333,40.10789519
4916,MAR,3,2016,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2016_MAR,C0C4,C0C4_Sodupe-Cadagua_2016_MAR,0.429664207,72.94047264,1.925,0.729,0.282882459,15.21872893,11.26447886,111.3202665,3.319650288,28.63859983,12.50935895,13.10870987,26.47520371,18.13216993,8.547027221,10.3694834,73.75349919,40.10643837
4917,MAR,3,2017,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2017_MAR,C0C4,C0C4_Sodupe-Cadagua_2017_MAR,0.429664207,72.94047264,0.523,0.372,0.239071345,15.21872893,11.26447886,111.3202665,3.319650288,28.63859983,12.50935895,13.10870987,26.47520371,18.13216993,8.547027221,10.3694834,73.75349919,40.10643837
4918,MAR,3,2018,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2018_MAR,C0C4,C0C4_Sodupe-Cadagua_2018_MAR,0.429664207,72.94047264,1.32,0.596,0.256328084,15.21872893,11.26447886,111.3202665,3.319650288,28.63859983,12.50935895,13.10870987,26.47520371,18.13216993,8.547027221,10.3694834,73.75349919,40.10643837
4920,ABR,4,2016,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2016_ABR,C0C4,C0C4_Sodupe-Cadagua_2016_ABR,1.427662368,74.44310666,0.971,0.52,0.246100716,15.07771217,11.09115154,111.0096837,3.286345255,29.82818639,12.51752656,13.15023426,26.72288121,18.12587004,8.425485688,10.45246481,74.47891782,40.13599759
4921,ABR,4,2017,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2017_ABR,C0C4,C0C4_Sodupe-Cadagua_2017_ABR,1.427662368,74.44310666,0.476,0.349,0.221400224,15.07771217,11.09115154,111.0096837,3.286345255,29.82818639,12.51752656,13.15023426,26.72288121,18.12587004,8.425485688,10.45246481,74.47891782,40.13599759
4922,ABR,4,2018,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2018_ABR,C0C4,C0C4_Sodupe-Cadagua_2018_ABR,1.427662368,74.44310666,1.176,0.501,0.235887835,15.07771217,11.09115154,111.0096837,3.286345255,29.82818639,12.51752656,13.15023426,26.72288121,18.12587004,8.425485688,10.45246481,74.47891782,40.13599759
4924,MAY,5,2016,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2016_MAY,C0C4,C0C4_Sodupe-Cadagua_2016_MAY,1.491676804,79.98145067,0.426,0.354,0.215415239,15.19373627,11.09893227,107.6081088,3.170888153,27.373816,12.55125865,13.04094561,26.19495,18.21474396,8.396147024,11.04929454,74.69131497,40.16086763
4925,MAY,5,2017,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2017_MAY,C0C4,C0C4_Sodupe-Cadagua_2017_MAY,1.491676804,79.98145067,0.456,0.342,0.207958577,15.19373627,11.09893227,107.6081088,3.170888153,27.373816,12.55125865,13.04094561,26.19495,18.21474396,8.396147024,11.04929454,74.69131497,40.16086763
4926,MAY,5,2018,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2018_MAY,C0C4,C0C4_Sodupe-Cadagua_2018_MAY,1.491676804,79.98145067,0.615,0.43,0.217379081,15.19373627,11.09893227,107.6081088,3.170888153,27.373816,12.55125865,13.04094561,26.19495,18.21474396,8.396147024,11.04929454,74.69131497,40.16086763
4928,JUN,6,2016,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2016_JUN,C0C4,C0C4_Sodupe-Cadagua_2016_JUN,1.371912859,83.29845609,0.357,0.308,0.195064434,15.40985062,11.26606166,110.2976898,3.35266694,27.66062419,12.57001962,12.87452575,25.78166255,18.14813726,8.544094955,11.39805331,74.25973732,40.16645322
4929,JUN,6,2017,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2017_JUN,C0C4,C0C4_Sodupe-Cadagua_2017_JUN,1.371912859,83.29845609,0.409,0.327,0.194860912,15.40985062,11.26606166,110.2976898,3.35266694,27.66062419,12.57001962,12.87452575,25.78166255,18.14813726,8.544094955,11.39805331,74.25973732,40.16645322
4930,JUN,6,2018,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2018_JUN,C0C4,C0C4_Sodupe-Cadagua_2018_JUN,1.371912859,83.29845609,0.659,0.384,0.197962243,15.40985062,11.26606166,110.2976898,3.35266694,27.66062419,12.57001962,12.87452575,25.78166255,18.14813726,8.544094955,11.39805331,74.25973732,40.16645322
4932,JUL,7,2016,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2016_JUL,C0C4,C0C4_Sodupe-Cadagua_2016_JUL,1.311299372,84.11019877,0.343,0.284,0.192599465,16.23388677,11.97953787,111.299347,3.428956521,27.70049683,12.5459102,12.86874454,25.84216473,18.22414114,8.528843434,11.5321129,74.34274995,40.16199492
4933,JUL,7,2017,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2017_JUL,C0C4,C0C4_Sodupe-Cadagua_2017_JUL,1.311299372,84.11019877,0.348,0.29,0.193662112,16.23388677,11.97953787,111.299347,3.428956521,27.70049683,12.5459102,12.86874454,25.84216473,18.22414114,8.528843434,11.5321129,74.34274995,40.16199492
4934,JUL,7,2018,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2018_JUL,C0C4,C0C4_Sodupe-Cadagua_2018_JUL,1.311299372,84.11019877,0.384,0.31,0.194402928,16.23388677,11.97953787,111.299347,3.428956521,27.70049683,12.5459102,12.86874454,25.84216473,18.22414114,8.528843434,11.5321129,74.34274995,40.16199492
4936,AGO,8,2016,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2016_AGO,C0C4,C0C4_Sodupe-Cadagua_2016_AGO,1.282085048,84.39913625,0.311,0.269,0.188982981,15.3708753,11.30808357,110.7321849,3.381348792,27.86893462,12.55515474,12.81499255,25.80675064,18.21712651,8.481970879,11.51999988,74.32519951,40.1632781
4937,AGO,8,2017,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2017_AGO,C0C4,C0C4_Sodupe-Cadagua_2017_AGO,1.282085048,84.39913625,0.361,0.268,0.184315542,15.3708753,11.30808357,110.7321849,3.381348792,27.86893462,12.55515474,12.81499255,25.80675064,18.21712651,8.481970879,11.51999988,74.32519951,40.1632781
4938,AGO,8,2018,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2018_AGO,C0C4,C0C4_Sodupe-Cadagua_2018_AGO,1.282085048,84.39913625,0.323,0.283,0.190199273,15.3708753,11.30808357,110.7321849,3.381348792,27.86893462,12.55515474,12.81499255,25.80675064,18.21712651,8.481970879,11.51999988,74.32519951,40.1632781
4940,SET,9,2016,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2016_SET,C0C4,C0C4_Sodupe-Cadagua_2016_SET,1.113678276,85.17064089,0.513,0.275,0.178872815,14.72088023,10.86370807,110.3725818,3.400172027,27.95066794,12.57096336,12.76429939,25.69649297,18.21199065,8.456998907,11.56832796,74.30212462,40.16137945
4941,SET,9,2017,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2017_SET,C0C4,C0C4_Sodupe-Cadagua_2017_SET,1.113678276,85.17064089,0.341,0.27,0.184225513,14.72088023,10.86370807,110.3725818,3.400172027,27.95066794,12.57096336,12.76429939,25.69649297,18.21199065,8.456998907,11.56832796,74.30212462,40.16137945
4942,SET,9,2018,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2018_SET,C0C4,C0C4_Sodupe-Cadagua_2018_SET,1.113678276,85.17064089,0.338,0.284,0.186949289,14.72088023,10.86370807,110.3725818,3.400172027,27.95066794,12.57096336,12.76429939,25.69649297,18.21199065,8.456998907,11.56832796,74.30212462,40.16137945
4944,OCT,10,2016,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2016_OCT,C0C4,C0C4_Sodupe-Cadagua_2016_OCT,1.201262439,83.79944008,0.304,0.262,0.189077546,15.20247939,11.15980453,110.1967757,3.361100233,27.53172004,12.57580061,12.82361008,25.75585018,18.13008998,8.528855871,11.47553708,74.218108,40.16824646
4945,OCT,10,2017,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2017_OCT,C0C4,C0C4_Sodupe-Cadagua_2017_OCT,1.201262439,83.79944008,0.307,0.252,0.186148664,15.20247939,11.15980453,110.1967757,3.361100233,27.53172004,12.57580061,12.82361008,25.75585018,18.13008998,8.528855871,11.47553708,74.218108,40.16824646
4946,OCT,10,2018,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2018_OCT,C0C4,C0C4_Sodupe-Cadagua_2018_OCT,1.201262439,83.79944008,0.655,0.302,0.179720886,15.20247939,11.15980453,110.1967757,3.361100233,27.53172004,12.57580061,12.82361008,25.75585018,18.13008998,8.528855871,11.47553708,74.218108,40.16824646
4948,NOV,11,2016,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2016_NOV,C0C4,C0C4_Sodupe-Cadagua_2016_NOV,0.522755028,79.31114353,0.904,0.351,0.189635254,15.21620327,11.32775317,111.4429967,3.134162673,27.10113056,12.54519407,13.0312564,26.09797523,18.10728946,8.691622979,11.10364231,74.57309731,40.15419501
4949,NOV,11,2017,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2017_NOV,C0C4,C0C4_Sodupe-Cadagua_2017_NOV,0.522755028,79.31114353,0.579,0.329,0.198073845,15.21620327,11.32775317,111.4429967,3.134162673,27.10113056,12.54519407,13.0312564,26.09797523,18.10728946,8.691622979,11.10364231,74.57309731,40.15419501
4950,NOV,11,2018,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2018_NOV,C0C4,C0C4_Sodupe-Cadagua_2018_NOV,0.522755028,79.31114353,0.648,0.362,0.204200502,15.21620327,11.32775317,111.4429967,3.134162673,27.10113056,12.54519407,13.0312564,26.09797523,18.10728946,8.691622979,11.10364231,74.57309731,40.15419501
4952,DIC,12,2016,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2016_DIC,C0C4,C0C4_Sodupe-Cadagua_2016_DIC,0.451405018,79.77536982,0.41,0.326,0.211215971,14.51179677,10.85296146,112.6959138,3.166846862,28.17399096,12.55321404,12.97570501,26.02876252,18.04456899,8.68746724,11.14810893,74.03317972,40.18360993
4953,DIC,12,2017,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2017_DIC,C0C4,C0C4_Sodupe-Cadagua_2017_DIC,0.451405018,79.77536982,1.115,0.61,0.231883275,14.51179677,10.85296146,112.6959138,3.166846862,28.17399096,12.55321404,12.97570501,26.02876252,18.04456899,8.68746724,11.14810893,74.03317972,40.18360993
4954,DIC,12,2018,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2018_DIC,C0C4,C0C4_Sodupe-Cadagua_2018_DIC,0.451405018,79.77536982,0.406,0.323,0.210532754,14.51179677,10.85296146,112.6959138,3.166846862,28.17399096,12.55321404,12.97570501,26.02876252,18.04456899,8.68746724,11.14810893,74.03317972,40.18360993
4911,ENE,1,2019,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2019_ENE,C0C4,C0C4_Sodupe-Cadagua_2019_ENE,0.948696508,78.00210554,1.863,0.552,0.256,15.81571772,11.57979831,107.6678589,3.164834895,25.97183822,12.52318741,13.05821089,26.28654274,18.12567896,8.551259882,10.85028421,74.89814142,40.13447886
4915,FEB,2,2019,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2019_FEB,C0C4,C0C4_Sodupe-Cadagua_2019_FEB,0.538754998,74.99058834,1.76,0.511,0.313,14.21211618,10.86772486,112.3807504,3.226162714,29.34623683,12.51976915,13.12658672,26.48084021,18.11950966,8.568163597,10.57275342,74.20439333,40.10789519
4919,MAR,3,2019,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2019_MAR,C0C4,C0C4_Sodupe-Cadagua_2019_MAR,0.429664207,72.94047264,0.418,0.347,0.303,15.21872893,11.26447886,111.3202665,3.319650288,28.63859983,12.50935895,13.10870987,26.47520371,18.13216993,8.547027221,10.3694834,73.75349919,40.10643837
4923,ABR,4,2019,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2019_ABR,C0C4,C0C4_Sodupe-Cadagua_2019_ABR,1.427662368,74.44310666,0.442,0.342,0.251,15.07771217,11.09115154,111.0096837,3.286345255,29.82818639,12.51752656,13.15023426,26.72288121,18.12587004,8.425485688,10.45246481,74.47891782,40.13599759
4927,MAY,5,2019,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2019_MAY,C0C4,C0C4_Sodupe-Cadagua_2019_MAY,1.491676804,79.98145067,0.357,0.281,0.167,15.19373627,11.09893227,107.6081088,3.170888153,27.373816,12.55125865,13.04094561,26.19495,18.21474396,8.396147024,11.04929454,74.69131497,40.16086763
4931,JUN,6,2019,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2019_JUN,C0C4,C0C4_Sodupe-Cadagua_2019_JUN,1.371912859,83.29845609,0.315,0.261,0.153,15.40985062,11.26606166,110.2976898,3.35266694,27.66062419,12.57001962,12.87452575,25.78166255,18.14813726,8.544094955,11.39805331,74.25973732,40.16645322
4935,JUL,7,2019,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2019_JUL,C0C4,C0C4_Sodupe-Cadagua_2019_JUL,1.311299372,84.11019877,0.292,0.195,0,16.23388677,11.97953787,111.299347,3.428956521,27.70049683,12.5459102,12.86874454,25.84216473,18.22414114,8.528843434,11.5321129,74.34274995,40.16199492
4939,AGO,8,2019,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2019_AGO,C0C4,C0C4_Sodupe-Cadagua_2019_AGO,1.282085048,84.39913625,0.292,0.146,0,15.3708753,11.30808357,110.7321849,3.381348792,27.86893462,12.55515474,12.81499255,25.80675064,18.21712651,8.481970879,11.51999988,74.32519951,40.1632781
4943,SET,9,2019,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2019_SET,C0C4,C0C4_Sodupe-Cadagua_2019_SET,1.113678276,85.17064089,0.306,0.209,0.04,14.72088023,10.86370807,110.3725818,3.400172027,27.95066794,12.57096336,12.76429939,25.69649297,18.21199065,8.456998907,11.56832796,74.30212462,40.16137945
4947,OCT,10,2019,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2019_OCT,C0C4,C0C4_Sodupe-Cadagua_2019_OCT,1.201262439,83.79944008,0.421,0.209,0.001,15.20247939,11.15980453,110.1967757,3.361100233,27.53172004,12.57580061,12.82361008,25.75585018,18.13008998,8.528855871,11.47553708,74.218108,40.16824646
4951,NOV,11,2019,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2019_NOV,C0C4,C0C4_Sodupe-Cadagua_2019_NOV,0.522755028,79.31114353,1.058,0.539,0.224,15.21620327,11.32775317,111.4429967,3.134162673,27.10113056,12.54519407,13.0312564,26.09797523,18.10728946,8.691622979,11.10364231,74.57309731,40.15419501
4955,DIC,12,2019,Sodupe-Cadagua,C0C4_Sodupe-Cadagua_2019_DIC,C0C4,C0C4_Sodupe-Cadagua_2019_DIC,0.451405018,79.77536982,1.3,0.52,0.366,14.51179677,10.85296146,112.6959138,3.166846862,28.17399096,12.55321404,12.97570501,26.02876252,18.04456899,8.68746724,11.14810893,74.03317972,40.18360993
4992,ENE,1,2016,Kanpezu,C0A0_Kanpezu_2016_ENE,C0A0,C0A0_Kanpezu_2016_ENE,0.948696508,78.00210554,0.89927639,0.369538867,0.193748232,15.836372,11.47126816,101.1,3.178307711,23.81432493,12.52335995,13.05665161,26.28538305,18.12456231,8.55042972,10.85355909,74.89535157,40.13436683
4993,FEB,2,2016,Kanpezu,C0A0_Kanpezu_2016_FEB,C0A0,C0A0_Kanpezu_2016_FEB,0.538754998,74.99058834,0.887358477,0.347939701,0.19337389,14.36250152,12.41844522,217.6,3.632351028,66.02929731,12.51892116,13.13173395,26.48240783,18.12906406,8.585797511,10.55897854,74.21353348,40.10879303
4994,MAR,3,2016,Kanpezu,C0A0_Kanpezu_2016_MAR,C0A0,C0A0_Kanpezu_2016_MAR,0.429664207,72.94047264,0.907417975,0.350029437,0.194198923,15.24898612,12.00792483,136.7,3.274120262,36.98357454,12.50906529,13.10738589,26.47134603,18.13117386,8.54546449,10.36792865,73.73774891,40.10975547
4995,ABR,4,2016,Kanpezu,C0A0_Kanpezu_2016_ABR,C0A0,C0A0_Kanpezu_2016_ABR,1.427662368,74.44310666,0.854097139,0.353223518,0.193343107,15.18673652,7.630581845,40.1,3.204299281,11.48550839,12.51890451,13.14124332,26.70445617,18.11411132,8.423536945,10.44780986,74.43212081,40.13537957
4996,MAY,5,2016,Kanpezu,C0A0_Kanpezu_2016_MAY,C0A0,C0A0_Kanpezu_2016_MAY,1.491676804,79.98145067,0.871123296,0.370250059,0.191931803,15.28520747,9.837142494,70,3.199602328,18.54890515,12.54535287,13.03749418,26.19074993,18.20669396,8.402167138,11.03794987,74.7309583,40.16098958
4997,JUN,6,2016,Kanpezu,C0A0_Kanpezu_2016_JUN,C0A0,C0A0_Kanpezu_2016_JUN,1.371912859,83.29845609,0.913698238,0.356120205,0.195200164,16.11912362,5.964672651,8.4,3.818501374,9.531082998,12.55176592,12.88107771,25.81125948,18.14866072,8.536858433,11.43808721,74.30484564,40.14563984
4998,JUL,7,2016,Kanpezu,C0A0_Kanpezu_2016_JUL,C0A0,C0A0_Kanpezu_2016_JUL,1.311299372,84.11019877,0.918049963,0.360199681,0.201077641,16.99068061,6.965286619,17.4,3.816177355,11.16966025,12.53128441,12.82521014,25.82524258,18.19390578,8.491353908,11.44277452,74.42466382,40.15015919
4999,AGO,8,2016,Kanpezu,C0A0_Kanpezu_2016_AGO,C0A0,C0A0_Kanpezu_2016_AGO,1.282085048,84.39913625,0.919330038,0.354454901,0.196012466,16.21176937,5.320605877,0.4,3.906914436,8.373727889,12.54522892,12.86627826,25.84043464,18.25154078,8.527947109,11.57420182,74.34295368,40.16769192
5000,SET,9,2016,Kanpezu,C0A0_Kanpezu_2016_SET,C0A0,C0A0_Kanpezu_2016_SET,1.113678276,85.17064089,0.910173068,0.347282873,0.194387919,15.57217816,6.392762282,16.8,3.82541109,12.84899837,12.54679479,12.80056196,25.77185565,18.24192858,8.502851182,11.60973367,74.37983058,40.15961644
