,merge_cod,code_merge,codigo, estacion,year,month,hum,hum_imputed_proba,freez,freez_imputed_proba,rain,rain_imputed_proba,lev_max,lev_max_imputed_proba,lev_mid,lev_mid_imputed_proba,lev_min,lev_min_imputed_proba,rain_1mm,rain_1mm_imputed_proba,rain_cum,rain_cum_imputed_proba,rain_max_10,rain_max_10_imputed_proba,rain_max_day,rain_max_day_imputed_proba,temp_avg,temp_avg_imputed_proba,temp_max_abs,temp_max_abs_imputed_proba,temp_max_avg,temp_max_avg_imputed_proba,temp_min_abs,temp_min_abs_imputed_proba,wind_avg,wind_avg_imputed_proba,wind_max,wind_max_imputed_proba,wind_max_avg,wind_max_avg_imputed_proba,sun,sun_imputed_proba
1106,C0F1_Eskas_2017_MAR,C0F1_Eskas_2017_MAR,C0F1,Eskas,2017,MAR,81.6,0.011300320737063885,0,0.36724621057510376,22,0.06944786757230759,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.1518537551164627,18,0.14990195631980896,65.7,0.009900989942252636,1.5,0.027440117672085762,13.6,0.021266357973217964,9.2,0.018619148060679436,21.3,0.021120846271514893,14.4,0.03915156051516533,5.8,0.06452299654483795,6.0,0.03536345437169075,61.9,0.03918813541531563,35.0,0.1413165032863617,4.5,0.3093193471431732
1475,C009_Galdakao_2017_ABR,C009_Galdakao_2017_ABR,C009,Galdakao,2017,ABR,81.6,0.011307797394692898,0,0.3845062255859375,19,0.15131746232509613,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.178958460688591,14,0.1357754021883011,65.7,0.009900989942252636,2.9,0.023604102432727814,16.9,0.021101202815771103,16.2,0.021837521344423294,27.6,0.01749560795724392,17.8,0.028533652424812317,9.7,0.05147463455796242,5.5,0.03371301665902138,79.2,0.040114521980285645,29.1,0.14058996737003326,18.5,0.25210556387901306
1515,C0F1_Eskas_2017_ABR,C0F1_Eskas_2017_ABR,C0F1,Eskas,2017,ABR,81.6,0.011307797394692898,0,0.3845062255859375,19,0.15131746232509613,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.178958460688591,14,0.1357754021883011,65.7,0.009900989942252636,2.9,0.023604102432727814,16.9,0.021101202815771103,16.2,0.021837521344423294,27.6,0.01749560795724392,17.8,0.028533652424812317,9.7,0.05147463455796242,5.5,0.03371301665902138,79.2,0.040114521980285645,29.1,0.14058996737003326,18.5,0.25210556387901306
1884,C009_Galdakao_2017_MAY,C009_Galdakao_2017_MAY,C009,Galdakao,2017,MAY,81.6,0.011229883879423141,0,0.48353511095046997,16,0.13147462904453278,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.1734485924243927,11,0.19928011298179626,65.7,0.009900989942252636,5,0.024288911372423172,17.6,0.018428880721330643,9.8,0.024462005123496056,21.3,0.023679932579398155,14.0,0.036091502755880356,5.6,0.06647440046072006,6.8,0.03397977724671364,52.9,0.03933054208755493,37.7,0.37805482745170593,16.7,0.35366886854171753
1924,C0F1_Eskas_2017_MAY,C0F1_Eskas_2017_MAY,C0F1,Eskas,2017,MAY,81.6,0.011229883879423141,0,0.48353511095046997,16,0.13147462904453278,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.1734485924243927,11,0.19928011298179626,65.7,0.009900989942252636,5,0.024288911372423172,17.6,0.018428880721330643,9.8,0.024462005123496056,21.3,0.023679932579398155,14.0,0.036091502755880356,5.6,0.06647440046072006,6.8,0.03397977724671364,52.9,0.03933054208755493,37.7,0.37805482745170593,16.7,0.35366886854171753
2293,C009_Galdakao_2017_JUN,C009_Galdakao_2017_JUN,C009,Galdakao,2017,JUN,79.8,0.011090660467743874,0,0.9893351197242737,11,0.08880721777677536,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.14855806529521942,8,0.13110879063606262,65.7,0.009900989942252636,1.3,0.02238970436155796,16.9,0.019253868609666824,17.1,0.021237144246697426,34.8,0.021513812243938446,23.4,0.04888440668582916,12.1,0.07720575481653214,6.0,0.04407763481140137,61.9,0.035286396741867065,41.3,0.1424633115530014,18.6,0.8250155448913574
2333,C0F1_Eskas_2017_JUN,C0F1_Eskas_2017_JUN,C0F1,Eskas,2017,JUN,79.8,0.011090660467743874,0,0.9893351197242737,11,0.08880721777677536,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.14855806529521942,8,0.13110879063606262,65.7,0.009900989942252636,1.3,0.02238970436155796,16.9,0.019253868609666824,17.1,0.021237144246697426,34.8,0.021513812243938446,23.4,0.04888440668582916,12.1,0.07720575481653214,6.0,0.04407763481140137,61.9,0.035286396741867065,41.3,0.1424633115530014,18.6,0.8250155448913574
2742,C0F1_Eskas_2017_JUL,C0F1_Eskas_2017_JUL,C0F1,Eskas,2017,JUL,81.6,0.011070014908909798,0,0.990060567855835,16,0.11777579039335251,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.1734485924243927,11,0.19928011298179626,65.7,0.009900989942252636,5,0.024288911372423172,17.6,0.019651222974061966,9.8,0.024462005123496056,21.3,0.023679932579398155,14.0,0.036091502755880356,5.6,0.06647440046072006,6.8,0.03397977724671364,52.9,0.03933054208755493,37.7,0.37805482745170593,16.7,0.35366886854171753
3151,C0F1_Eskas_2017_AGO,C0F1_Eskas_2017_AGO,C0F1,Eskas,2017,AGO,81.6,0.011449027806520462,0,0.9868310689926147,1,0.08269238471984863,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.16831234097480774,11,0.10544668138027191,65.7,0.009900989942252636,2,0.02207990363240242,12.8,0.019392069429159164,9.8,0.0201847143471241,21.3,0.021748805418610573,14.0,0.03377445042133331,6.4,0.06071721017360687,6.0,0.025116434320807457,52.9,0.03883635625243187,37.7,0.3238523602485657,17.5,0.31699830293655396
3560,C0F1_Eskas_2017_SET,C0F1_Eskas_2017_SET,C0F1,Eskas,2017,SET,81.6,0.011409551836550236,0,0.9700983166694641,14,0.09869155287742615,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.14827251434326172,11,0.2204374074935913,65.7,0.009900989942252636,5,0.023784160614013672,21.7,0.023661993443965912,20.2,0.027375247329473495,30.2,0.017728369683027267,25.0,0.03152020275592804,15.3,0.06446582823991776,6.0,0.04629305750131607,61.9,0.036292411386966705,29.4,0.3565821051597595,18.0,0.7654020190238953
2702,C009_Galdakao_2017_JUL,C009_Galdakao_2017_JUL,C009,Galdakao,2017,JUL,79.0,0.011120415292680264,0,,1,0.09261016547679901,0.311,0.009900989942252636,0.090,0.009900989942252636,0.000,0.15620358288288116,0,0.1360245645046234,65.7,0.009900989942252636,0.2,0.02756928652524948,14,0.01797947660088539,11.8,0.01782560907304287,25.3,0.01619856245815754,17.2,0.04277140274643898,6.4,0.058429088443517685,5.9,0.02855413407087326,61.9,0.03735100477933884,30.6,0.16621597111225128,3.7,0.4978261888027191
4908,C0C4_Sodupe-Cadagua_2018_ENE,C0C4_Sodupe-Cadagua_2018_ENE,C0C4,Sodupe-Cadagua,2018,ENE,81.6,0.011313552036881447,0,0.2226121425628662,22,0.10689990967512131,1.635,,0.647,,0.000,0.09978008270263672,18,0.14990195631980896,65.7,0.009900989942252636,1.5,0.027440117672085762,21.8,0.01995695009827614,9.2,0.018619148060679436,21.3,0.021120846271514893,14.4,0.03915156051516533,5.8,0.06452299654483795,6.0,0.03536345437169075,61.9,0.03918813541531563,35.0,0.1413165032863617,4.5,0.3093193471431732
4909,C0C4_Sodupe-Cadagua_2017_ENE,C0C4_Sodupe-Cadagua_2017_ENE,C0C4,Sodupe-Cadagua,2017,ENE,81.6,0.011313552036881447,0,0.2226121425628662,22,0.10689990967512131,1.669,,0.495,,0.000,0.12141924351453781,18,0.14990195631980896,65.7,0.009900989942252636,1.5,0.027440117672085762,21.8,0.01995695009827614,9.2,0.018619148060679436,21.3,0.021120846271514893,14.4,0.03915156051516533,5.8,0.06452299654483795,6.0,0.03536345437169075,61.9,0.03918813541531563,35.0,0.1413165032863617,4.5,0.3093193471431732
4911,C0C4_Sodupe-Cadagua_2016_ENE,C0C4_Sodupe-Cadagua_2016_ENE,C0C4,Sodupe-Cadagua,2016,ENE,81.6,0.011313552036881447,0,0.2226121425628662,22,0.10689990967512131,0.680,,0.390,,0.000,0.11843616515398026,18,0.14990195631980896,65.7,0.009900989942252636,1.5,0.027440117672085762,21.8,0.01995695009827614,9.2,0.018619148060679436,21.3,0.021120846271514893,14.4,0.03915156051516533,5.8,0.06452299654483795,6.0,0.03536345437169075,61.9,0.03918813541531563,35.0,0.1413165032863617,4.5,0.3093193471431732
4912,C0C4_Sodupe-Cadagua_2018_FEB,C0C4_Sodupe-Cadagua_2018_FEB,C0C4,Sodupe-Cadagua,2018,FEB,81.6,0.011363400146365166,0,0.17730706930160522,19,0.11995068192481995,1.508,,0.833,,0.000,0.12420651316642761,14,0.1357754021883011,65.7,0.009900989942252636,2.9,0.023604102432727814,19,0.023029103875160217,16.2,0.021837521344423294,27.6,0.01749560795724392,17.8,0.028533652424812317,9.7,0.05147463455796242,5.5,0.03371301665902138,79.2,0.040114521980285645,29.1,0.14058996737003326,18.5,0.25210556387901306
4913,C0C4_Sodupe-Cadagua_2017_FEB,C0C4_Sodupe-Cadagua_2017_FEB,C0C4,Sodupe-Cadagua,2017,FEB,81.6,0.011363400146365166,0,0.17730706930160522,19,0.11995068192481995,0.814,,0.413,,0.000,0.14006592333316803,14,0.1357754021883011,65.7,0.009900989942252636,2.9,0.023604102432727814,19,0.023029103875160217,16.2,0.021837521344423294,27.6,0.01749560795724392,17.8,0.028533652424812317,9.7,0.05147463455796242,5.5,0.03371301665902138,79.2,0.040114521980285645,29.1,0.14058996737003326,18.5,0.25210556387901306
4915,C0C4_Sodupe-Cadagua_2016_FEB,C0C4_Sodupe-Cadagua_2016_FEB,C0C4,Sodupe-Cadagua,2016,FEB,81.6,0.011363400146365166,0,0.17730706930160522,19,0.11995068192481995,1.905,,0.584,,0.000,0.1202627643942833,14,0.1357754021883011,65.7,0.009900989942252636,2.9,0.023604102432727814,19,0.023029103875160217,16.2,0.021837521344423294,27.6,0.01749560795724392,17.8,0.028533652424812317,9.7,0.05147463455796242,5.5,0.03371301665902138,79.2,0.040114521980285645,29.1,0.14058996737003326,18.5,0.25210556387901306
4916,C0C4_Sodupe-Cadagua_2018_MAR,C0C4_Sodupe-Cadagua_2018_MAR,C0C4,Sodupe-Cadagua,2018,MAR,81.6,0.011300320737063885,0,0.36724621057510376,22,0.06944786757230759,1.320,,0.596,,0.000,0.10688525438308716,18,0.14990195631980896,65.7,0.009900989942252636,1.5,0.027440117672085762,13.6,0.021266357973217964,9.2,0.018619148060679436,21.3,0.021120846271514893,14.4,0.03915156051516533,5.8,0.06452299654483795,6.0,0.03536345437169075,61.9,0.03918813541531563,35.0,0.1413165032863617,4.5,0.3093193471431732
4917,C0C4_Sodupe-Cadagua_2017_MAR,C0C4_Sodupe-Cadagua_2017_MAR,C0C4,Sodupe-Cadagua,2017,MAR,81.6,0.011300320737063885,0,0.36724621057510376,22,0.06944786757230759,0.523,,0.372,,0.000,0.12891153991222382,18,0.14990195631980896,65.7,0.009900989942252636,1.5,0.027440117672085762,13.6,0.021266357973217964,9.2,0.018619148060679436,21.3,0.021120846271514893,14.4,0.03915156051516533,5.8,0.06452299654483795,6.0,0.03536345437169075,61.9,0.03918813541531563,35.0,0.1413165032863617,4.5,0.3093193471431732
4919,C0C4_Sodupe-Cadagua_2016_MAR,C0C4_Sodupe-Cadagua_2016_MAR,C0C4,Sodupe-Cadagua,2016,MAR,81.6,0.011300320737063885,0,0.36724621057510376,22,0.06944786757230759,1.925,,0.729,,0.000,0.1107458844780922,18,0.14990195631980896,65.7,0.009900989942252636,1.5,0.027440117672085762,13.6,0.021266357973217964,9.2,0.018619148060679436,21.3,0.021120846271514893,14.4,0.03915156051516533,5.8,0.06452299654483795,6.0,0.03536345437169075,61.9,0.03918813541531563,35.0,0.1413165032863617,4.5,0.3093193471431732
4920,C0C4_Sodupe-Cadagua_2018_ABR,C0C4_Sodupe-Cadagua_2018_ABR,C0C4,Sodupe-Cadagua,2018,ABR,81.6,0.011307797394692898,0,0.3845062255859375,19,0.15131746232509613,1.176,,0.501,,0.000,0.12950076162815094,14,0.1357754021883011,65.7,0.009900989942252636,2.9,0.023604102432727814,16.9,0.021101202815771103,16.2,0.021837521344423294,27.6,0.01749560795724392,17.8,0.028533652424812317,9.7,0.05147463455796242,5.5,0.03371301665902138,79.2,0.040114521980285645,29.1,0.14058996737003326,18.5,0.25210556387901306
4921,C0C4_Sodupe-Cadagua_2017_ABR,C0C4_Sodupe-Cadagua_2017_ABR,C0C4,Sodupe-Cadagua,2017,ABR,81.6,0.011307797394692898,0,0.3845062255859375,19,0.15131746232509613,0.476,,0.349,,0.000,0.15789884328842163,14,0.1357754021883011,65.7,0.009900989942252636,2.9,0.023604102432727814,16.9,0.021101202815771103,16.2,0.021837521344423294,27.6,0.01749560795724392,17.8,0.028533652424812317,9.7,0.05147463455796242,5.5,0.03371301665902138,79.2,0.040114521980285645,29.1,0.14058996737003326,18.5,0.25210556387901306
4923,C0C4_Sodupe-Cadagua_2016_ABR,C0C4_Sodupe-Cadagua_2016_ABR,C0C4,Sodupe-Cadagua,2016,ABR,81.6,0.011307797394692898,0,0.3845062255859375,19,0.15131746232509613,0.971,,0.520,,0.000,0.16146330535411835,14,0.1357754021883011,65.7,0.009900989942252636,2.9,0.023604102432727814,16.9,0.021101202815771103,16.2,0.021837521344423294,27.6,0.01749560795724392,17.8,0.028533652424812317,9.7,0.05147463455796242,5.5,0.03371301665902138,79.2,0.040114521980285645,29.1,0.14058996737003326,18.5,0.25210556387901306
4924,C0C4_Sodupe-Cadagua_2018_MAY,C0C4_Sodupe-Cadagua_2018_MAY,C0C4,Sodupe-Cadagua,2018,MAY,81.6,0.011229883879423141,0,0.48353511095046997,16,0.13147462904453278,0.615,,0.430,,0.000,0.14358355104923248,11,0.19928011298179626,65.7,0.009900989942252636,5,0.024288911372423172,17.6,0.018428880721330643,9.8,0.024462005123496056,21.3,0.023679932579398155,14.0,0.036091502755880356,5.6,0.06647440046072006,6.8,0.03397977724671364,52.9,0.03933054208755493,37.7,0.37805482745170593,16.7,0.35366886854171753
4925,C0C4_Sodupe-Cadagua_2017_MAY,C0C4_Sodupe-Cadagua_2017_MAY,C0C4,Sodupe-Cadagua,2017,MAY,81.6,0.011229883879423141,0,0.48353511095046997,16,0.13147462904453278,0.456,,0.342,,0.000,0.15488912165164948,11,0.19928011298179626,65.7,0.009900989942252636,5,0.024288911372423172,17.6,0.018428880721330643,9.8,0.024462005123496056,21.3,0.023679932579398155,14.0,0.036091502755880356,5.6,0.06647440046072006,6.8,0.03397977724671364,52.9,0.03933054208755493,37.7,0.37805482745170593,16.7,0.35366886854171753
4927,C0C4_Sodupe-Cadagua_2016_MAY,C0C4_Sodupe-Cadagua_2016_MAY,C0C4,Sodupe-Cadagua,2016,MAY,81.6,0.011229883879423141,0,0.48353511095046997,16,0.13147462904453278,0.426,,0.354,,0.000,0.14322884380817413,11,0.19928011298179626,65.7,0.009900989942252636,5,0.024288911372423172,17.6,0.018428880721330643,9.8,0.024462005123496056,21.3,0.023679932579398155,14.0,0.036091502755880356,5.6,0.06647440046072006,6.8,0.03397977724671364,52.9,0.03933054208755493,37.7,0.37805482745170593,16.7,0.35366886854171753
4928,C0C4_Sodupe-Cadagua_2018_JUN,C0C4_Sodupe-Cadagua_2018_JUN,C0C4,Sodupe-Cadagua,2018,JUN,79.8,0.011090660467743874,0,0.9893351197242737,11,0.08880721777677536,0.659,,0.384,,0.000,0.1273687332868576,8,0.13110879063606262,65.7,0.009900989942252636,1.3,0.02238970436155796,16.9,0.019253868609666824,17.1,0.021237144246697426,34.8,0.021513812243938446,23.4,0.04888440668582916,12.1,0.07720575481653214,6.0,0.04407763481140137,61.9,0.035286396741867065,41.3,0.1424633115530014,18.6,0.8250155448913574
4929,C0C4_Sodupe-Cadagua_2017_JUN,C0C4_Sodupe-Cadagua_2017_JUN,C0C4,Sodupe-Cadagua,2017,JUN,79.8,0.011090660467743874,0,0.9893351197242737,11,0.08880721777677536,0.409,,0.327,,0.000,0.1226751059293747,8,0.13110879063606262,65.7,0.009900989942252636,1.3,0.02238970436155796,16.9,0.019253868609666824,17.1,0.021237144246697426,34.8,0.021513812243938446,23.4,0.04888440668582916,12.1,0.07720575481653214,6.0,0.04407763481140137,61.9,0.035286396741867065,41.3,0.1424633115530014,18.6,0.8250155448913574
4931,C0C4_Sodupe-Cadagua_2016_JUN,C0C4_Sodupe-Cadagua_2016_JUN,C0C4,Sodupe-Cadagua,2016,JUN,79.8,0.011090660467743874,0,0.9893351197242737,11,0.08880721777677536,0.357,,0.308,,0.000,0.1258845031261444,8,0.13110879063606262,65.7,0.009900989942252636,1.3,0.02238970436155796,16.9,0.019253868609666824,17.1,0.021237144246697426,34.8,0.021513812243938446,23.4,0.04888440668582916,12.1,0.07720575481653214,6.0,0.04407763481140137,61.9,0.035286396741867065,41.3,0.1424633115530014,18.6,0.8250155448913574
4932,C0C4_Sodupe-Cadagua_2018_JUL,C0C4_Sodupe-Cadagua_2018_JUL,C0C4,Sodupe-Cadagua,2018,JUL,81.6,0.011070014908909798,0,0.990060567855835,16,0.11777579039335251,0.384,,0.310,,0.000,0.132269024848938,11,0.19928011298179626,65.7,0.009900989942252636,5,0.024288911372423172,17.6,0.019651222974061966,9.8,0.024462005123496056,21.3,0.023679932579398155,14.0,0.036091502755880356,5.6,0.06647440046072006,6.8,0.03397977724671364,52.9,0.03933054208755493,37.7,0.37805482745170593,16.7,0.35366886854171753
4933,C0C4_Sodupe-Cadagua_2017_JUL,C0C4_Sodupe-Cadagua_2017_JUL,C0C4,Sodupe-Cadagua,2017,JUL,81.6,0.011070014908909798,0,0.990060567855835,16,0.11777579039335251,0.348,,0.290,,0.000,0.16547401249408722,11,0.19928011298179626,65.7,0.009900989942252636,5,0.024288911372423172,17.6,0.019651222974061966,9.8,0.024462005123496056,21.3,0.023679932579398155,14.0,0.036091502755880356,5.6,0.06647440046072006,6.8,0.03397977724671364,52.9,0.03933054208755493,37.7,0.37805482745170593,16.7,0.35366886854171753
4935,C0C4_Sodupe-Cadagua_2016_JUL,C0C4_Sodupe-Cadagua_2016_JUL,C0C4,Sodupe-Cadagua,2016,JUL,81.6,0.011070014908909798,0,0.990060567855835,16,0.11777579039335251,0.343,,0.284,,0.000,0.14716936647891998,11,0.19928011298179626,65.7,0.009900989942252636,5,0.024288911372423172,17.6,0.019651222974061966,9.8,0.024462005123496056,21.3,0.023679932579398155,14.0,0.036091502755880356,5.6,0.06647440046072006,6.8,0.03397977724671364,52.9,0.03933054208755493,37.7,0.37805482745170593,16.7,0.35366886854171753
4936,C0C4_Sodupe-Cadagua_2018_AGO,C0C4_Sodupe-Cadagua_2018_AGO,C0C4,Sodupe-Cadagua,2018,AGO,81.6,0.011449027806520462,0,0.9868310689926147,1,0.08269238471984863,0.323,,0.283,,0.000,0.14401660859584808,11,0.10544668138027191,65.7,0.009900989942252636,2,0.02207990363240242,12.8,0.019392069429159164,9.8,0.0201847143471241,21.3,0.021748805418610573,14.0,0.03377445042133331,6.4,0.06071721017360687,6.0,0.025116434320807457,52.9,0.03883635625243187,37.7,0.3238523602485657,17.5,0.31699830293655396
4937,C0C4_Sodupe-Cadagua_2017_AGO,C0C4_Sodupe-Cadagua_2017_AGO,C0C4,Sodupe-Cadagua,2017,AGO,81.6,0.011449027806520462,0,0.9868310689926147,1,0.08269238471984863,0.361,,0.268,,0.000,0.1566784679889679,11,0.10544668138027191,65.7,0.009900989942252636,2,0.02207990363240242,12.8,0.019392069429159164,9.8,0.0201847143471241,21.3,0.021748805418610573,14.0,0.03377445042133331,6.4,0.06071721017360687,6.0,0.025116434320807457,52.9,0.03883635625243187,37.7,0.3238523602485657,17.5,0.31699830293655396
4939,C0C4_Sodupe-Cadagua_2016_AGO,C0C4_Sodupe-Cadagua_2016_AGO,C0C4,Sodupe-Cadagua,2016,AGO,81.6,0.011449027806520462,0,0.9868310689926147,1,0.08269238471984863,0.311,,0.269,,0.000,0.1610531210899353,11,0.10544668138027191,65.7,0.009900989942252636,2,0.02207990363240242,12.8,0.019392069429159164,9.8,0.0201847143471241,21.3,0.021748805418610573,14.0,0.03377445042133331,6.4,0.06071721017360687,6.0,0.025116434320807457,52.9,0.03883635625243187,37.7,0.3238523602485657,17.5,0.31699830293655396
4940,C0C4_Sodupe-Cadagua_2018_SET,C0C4_Sodupe-Cadagua_2018_SET,C0C4,Sodupe-Cadagua,2018,SET,81.6,0.011409551836550236,0,0.9700983166694641,14,0.09869155287742615,0.338,,0.284,,0.000,0.11719705164432526,11,0.2204374074935913,65.7,0.009900989942252636,5,0.023784160614013672,21.7,0.023661993443965912,20.2,0.027375247329473495,30.2,0.017728369683027267,25.0,0.03152020275592804,15.3,0.06446582823991776,6.0,0.04629305750131607,61.9,0.036292411386966705,29.4,0.3565821051597595,18.0,0.7654020190238953
4941,C0C4_Sodupe-Cadagua_2017_SET,C0C4_Sodupe-Cadagua_2017_SET,C0C4,Sodupe-Cadagua,2017,SET,81.6,0.011409551836550236,0,0.9700983166694641,14,0.09869155287742615,0.341,,0.270,,0.000,0.1339692920446396,11,0.2204374074935913,65.7,0.009900989942252636,5,0.023784160614013672,21.7,0.023661993443965912,20.2,0.027375247329473495,30.2,0.017728369683027267,25.0,0.03152020275592804,15.3,0.06446582823991776,6.0,0.04629305750131607,61.9,0.036292411386966705,29.4,0.3565821051597595,18.0,0.7654020190238953
