merge_cod,freez,hum,lev_max,lev_mid,lev_min,rain,rain_1mm,rain_cum,rain_max_10,rain_max_day,sun,temp_avg,temp_max_abs,temp_max_avg,temp_min_abs,wind_avg,wind_max,wind_max_avg,code_merge,codigo, estacion,year,month
C031_Moreda_2016_ENE,0,80.2,,,,13,9,39,0.9,10.6,4.7,8.1,17.7,10.9,5.2,12.9,82.1,41.9,C031_Moreda_2016_ENE,C031,Moreda,2016,ENE
C041_Navarrete_2016_ENE,12,87.8,,,,19,13,85.9,1,19.4,4.1,5.7,16.0,9.7,2.0,13.0,113.0,49.6,C041_Navarrete_2016_ENE,C041,Navarrete,2016,ENE
C055_Ozaeta_2016_ENE,7,82.7,0.404,0.133,,22,13,91.4,1.1,27,,7.3,17.3,11.7,3.1,,,,C055_Ozaeta_2016_ENE,C055,Ozaeta,2016,ENE
C060_Páganos_2016_ENE,3,83.0,,,,17,10,62,0.7,20.5,4.4,7.0,17.1,9.9,4.1,14.6,84.6,48.8,C060_Páganos_2016_ENE,C060,Páganos,2016,ENE
C021_Roitegi_2016_ENE,8,96.1,,,,,,,,,,5.2,15.6,8.4,2.1,18.7,87.8,52.6,C021_Roitegi_2016_ENE,C021,Roitegi,2016,ENE
C030_Salvatierra_2016_ENE,13,83.9,,,,21,13,94,1,25.1,5.0,6.3,16.9,10.9,1.8,9.6,73.8,37.5,C030_Salvatierra_2016_ENE,C030,Salvatierra,2016,ENE
C051_Saratxo_2016_ENE,2,72.1,0.471,0.203,,22,14,97.2,2.6,13.9,4.5,10.1,19.7,14.5,5.5,9.2,110.5,49.2,C051_Saratxo_2016_ENE,C051,Saratxo,2016,ENE
C0A0_Sarria_2016_ENE,5,,0.453,0.235,,23,18,128.5,1.6,24.2,,7.1,16.1,11.3,3.2,,,,C0A0_Sarria_2016_ENE,C0A0,Sarria,2016,ENE
C049_Subijana_2016_ENE,13,85.7,,,,22,12,82.9,1.1,15.5,,6.2,16.2,10.2,2.5,,,,C049_Subijana_2016_ENE,C049,Subijana,2016,ENE
C020_Trebiño_2016_ENE,12,91.8,,,,18,11,49.9,1.1,12.1,4.7,6.1,16.2,10.3,2.1,12.9,105.5,50.9,C020_Trebiño_2016_ENE,C020,Trebiño,2016,ENE
C070_Zaldiaran_2016_ENE,0,92.6,,,,19,10,67.5,1.3,18.7,,6.3,14.4,9.0,4.2,,,,C070_Zaldiaran_2016_ENE,C070,Zaldiaran,2016,ENE
C050_Zambrana_2016_ENE,5,80.9,,,,17,12,49.5,1,12.1,4.4,7.9,17.8,11.2,4.5,14.5,110.5,48.3,C050_Zambrana_2016_ENE,C050,Zambrana,2016,ENE
C0B1_Abusu (La Peña)_2016_ENE,0,83.2,1.378,0.430,,20,14,120.2,3.1,19.6,,10.0,19.3,14.5,5.9,,,,C0B1_Abusu (La Peña)_2016_ENE,C0B1,Abusu (La Peña),2016,ENE
C079_Amorebieta_2016_ENE,3,82.6,1.059,0.470,,21,14,123.7,2,15.2,,9.1,20.3,14.5,4.7,,,,C079_Amorebieta_2016_ENE,C079,Amorebieta,2016,ENE
C0C1_Aranguren_2016_ENE,0,79.8,1.472,0.768,,17,13,57.4,1.4,8.9,,11.2,22.9,16.8,6.7,,,,C0C1_Aranguren_2016_ENE,C0C1,Aranguren,2016,ENE
C061_Arboleda_2016_ENE,0,68.8,,,,17,13,117,2.3,22.7,4.4,10.6,18.8,13.7,7.7,24.2,123.8,76.6,C061_Arboleda_2016_ENE,C061,Arboleda,2016,ENE
C032_Areta_2016_ENE,3,77.3,0.567,0.281,,25,15,99,2.1,19.2,,9.4,19.4,14.6,4.9,5.1,50.0,31.3,C032_Areta_2016_ENE,C032,Areta,2016,ENE
C002_Arteaga_2016_ENE,0,76.6,,,,23,16,148,1.6,19.8,,11.5,23.0,16.6,6.9,5.5,79.2,36.6,C002_Arteaga_2016_ENE,C002,Arteaga,2016,ENE
C0C2_Balmaseda_2016_ENE,9,76.4,0.456,0.318,,17,13,82.1,1.4,11.8,,7.7,17.9,12.7,2.9,,,,C0C2_Balmaseda_2016_ENE,C0C2,Balmaseda,2016,ENE
C069_Bermeo_2016_ENE,0,70.5,,,,21,17,179.7,2.7,25.3,4.7,12.0,21.4,15.4,9.3,13.2,87.5,48.8,C069_Bermeo_2016_ENE,C069,Bermeo,2016,ENE
C0B6_Berna_2016_ENE,1,81.8,,,,23,15,139.6,2.2,17.8,,9.3,19.5,14.6,5.0,,,,C0B6_Berna_2016_ENE,C0B6,Berna,2016,ENE
C0BE_Berriatua_2016_ENE,0,80.2,0.763,0.274,,21,16,129.6,1.6,15.4,,11.4,23.2,16.4,7.2,,,,C0BE_Berriatua_2016_ENE,C0BE,Berriatua,2016,ENE
C065_Cerroja_2016_ENE,0,73.9,,,,17,14,108,1.7,15.1,4.4,8.7,18.6,11.7,6.2,23.6,135.7,75.8,C065_Cerroja_2016_ENE,C065,Cerroja,2016,ENE
C003_Derio_2016_ENE,0,73.2,,,,20,15,119.2,1.5,16,4.5,10.7,20.7,15.4,6.2,7.2,68.4,39.9,C003_Derio_2016_ENE,C003,Derio,2016,ENE
C039_Deusto_2016_ENE,0,67.4,,,,18,14,97.5,1.4,15.6,4.7,12.5,21.3,16.2,9.2,15.0,88.9,56.3,C039_Deusto_2016_ENE,C039,Deusto,2016,ENE
C075_Eitzaga_2016_ENE,0,,,,,23,18,145.8,1.5,23.8,,10.2,21.0,15.0,6.4,6.6,73.1,38.5,C075_Eitzaga_2016_ENE,C075,Eitzaga,2016,ENE
C074_Elorrio_2016_ENE,0,81.4,0.485,0.189,,23,17,131.1,1.9,21.1,,10.0,19.9,14.6,5.8,,,,C074_Elorrio_2016_ENE,C074,Elorrio,2016,ENE
C038_Galindo_2016_ENE,0,65.9,,,,17,15,114.5,2.1,15.4,,12.2,21.1,16.3,8.6,10.6,85.3,49.3,C038_Galindo_2016_ENE,C038,Galindo,2016,ENE
C033_Igorre_2016_ENE,0,94.3,,,,20,14,110.4,1.6,15.2,4.4,10.5,20.5,15.5,6.5,10.1,76.3,41.2,C033_Igorre_2016_ENE,C033,Igorre,2016,ENE
C0BD_Iruzubieta_2016_ENE,0,83.5,0.584,0.240,,24,17,175.4,1.6,25.9,,9.3,21.5,14.7,4.8,,,,C0BD_Iruzubieta_2016_ENE,C0BD,Iruzubieta,2016,ENE
C036_Iurreta_2016_ENE,0,78.2,,,,22,15,123,1.7,20.4,4.8,10.8,21.0,15.3,6.8,10.1,78.5,42.6,C036_Iurreta_2016_ENE,C036,Iurreta,2016,ENE
C045_La Garbea_2016_ENE,0,87.8,,,,18,14,92.9,1.3,13.5,,8.1,16.2,11.0,5.7,30.4,121.7,77.2,C045_La Garbea_2016_ENE,C045,La Garbea,2016,ENE
C0B7_Mañaria_2016_ENE,0,77.0,0.492,0.243,,21,16,125.1,2.1,17,,10.5,19.7,14.4,6.5,,,,C0B7_Mañaria_2016_ENE,C0B7,Mañaria,2016,ENE
C019_Matxitxako_2016_ENE,0,77.0,,,,21,16,142.1,2.6,16.2,4.3,10.0,20.1,13.0,7.8,38.5,123.8,85.9,C019_Matxitxako_2016_ENE,C019,Matxitxako,2016,ENE
C057_Mungia_2016_ENE,0,75.6,2.068,0.662,,21,16,126.4,2.1,16.1,4.5,12.1,22.4,17.0,7.6,9.5,74.5,45.0,C057_Mungia_2016_ENE,C057,Mungia,2016,ENE
C063_Muxika_2016_ENE,3,76.6,0.666,0.255,,16,15,91.9,2.3,17.3,,10.1,21.4,15.6,4.9,,,,C063_Muxika_2016_ENE,C063,Muxika,2016,ENE
C046_Oiz_2016_ENE,2,94.9,,,,19,13,89.7,1,14.3,,5.7,13.9,8.0,3.7,34.7,113.8,72.7,C046_Oiz_2016_ENE,C046,Oiz,2016,ENE
C0BA_Oleta_2016_ENE,0,83.7,0.702,0.263,,23,17,147.7,1.7,23.5,,11.3,23.5,16.5,6.9,,,,C0BA_Oleta_2016_ENE,C0BA,Oleta,2016,ENE
C059_Ordunte_2016_ENE,3,71.6,,,,20,14,98.9,1.6,20.1,4.7,8.8,17.1,12.6,4.8,13.2,101.5,58.5,C059_Ordunte_2016_ENE,C059,Ordunte,2016,ENE
C072_Orduña_2016_ENE,3,92.9,,,,24,17,104.4,1.9,13.5,,5.7,13.8,8.4,3.6,40.7,142.6,81.4,C072_Orduña_2016_ENE,C072,Orduña,2016,ENE
C0B4_Orozko_2016_ENE,0,80.5,0.630,0.133,,21,15,100.2,2.3,19.1,,9.2,18.7,13.7,5.4,6.7,61.9,34.5,C0B4_Orozko_2016_ENE,C0B4,Orozko,2016,ENE
C054_Otxandio_2016_ENE,9,85.7,0.821,0.323,,23,18,108.4,1.3,20.8,4.3,6.9,15.7,10.9,3.0,6.3,73.4,35.8,C054_Otxandio_2016_ENE,C054,Otxandio,2016,ENE
C042_Punta Galea_2016_ENE,0,66.4,,,,20,14,92.5,2.2,14.8,4.7,12.6,21.4,15.9,9.6,24.5,118.4,71.1,C042_Punta Galea_2016_ENE,C042,Punta Galea,2016,ENE
C0B9_Sangroniz_2016_ENE,0,76.5,1.018,0.511,,23,15,120.9,1.5,20.1,,10.6,20.7,15.4,5.8,,,,C0B9_Sangroniz_2016_ENE,C0B9,Sangroniz,2016,ENE
C0C3_Sodupe_2016_ENE,2,80.3,,,,21,16,118.9,1.8,21.8,,9.7,21.0,15.4,5.2,5.7,70.9,33.3,C0C3_Sodupe_2016_ENE,C0C3,Sodupe,2016,ENE
C066_Untzueta_2016_ENE,2,81.8,,,,,,,,,,6.8,14.8,9.8,4.4,30.3,121.3,68.6,C066_Untzueta_2016_ENE,C066,Untzueta,2016,ENE
C022_Urkiola_2016_ENE,3,88.3,,,,22,17,115.7,2.3,15.5,4.3,6.6,14.5,9.8,3.9,14.1,78.1,48.8,C022_Urkiola_2016_ENE,C022,Urkiola,2016,ENE
C0B3_Urkizu_2016_ENE,2,83.6,0.764,0.324,,24,14,118.3,1.4,15.6,,9.4,19.6,14.8,4.9,,,,C0B3_Urkizu_2016_ENE,C0B3,Urkizu,2016,ENE
C037_Venta Alta_2016_ENE,0,70.7,,,,18,14,117.3,1.9,19.1,4.6,10.7,19.5,14.8,6.8,13.3,87.8,56.4,C037_Venta Alta_2016_ENE,C037,Venta Alta,2016,ENE
C0E5_Agauntza_2016_ENE,1,82.0,0.601,0.278,,25,15,113.7,1.3,16.8,,9.4,20.2,13.7,5.2,,,,C0E5_Agauntza_2016_ENE,C0E5,Agauntza,2016,ENE
C0DB_Aitzu_2016_ENE,5,81.3,0.689,0.250,,24,16,138.1,1.7,28.9,,7.4,17.2,11.9,3.5,,,,C0DB_Aitzu_2016_ENE,C0DB,Aitzu,2016,ENE
C0D3_Aixola_2016_ENE,0,83.5,0.224,0.099,,25,16,147.1,1.8,20.7,,8.7,19.5,13.0,5.1,,,,C0D3_Aixola_2016_ENE,C0D3,Aixola,2016,ENE
C0DD_Aizarnazabal_2016_ENE,0,80.7,0.954,0.451,,21,16,131.4,1.9,17.1,,10.3,19.4,14.4,6.3,,,,C0DD_Aizarnazabal_2016_ENE,C0DD,Aizarnazabal,2016,ENE
C0E9_Alegia_2016_ENE,0,88.4,1.066,0.496,,22,19,113.4,2.6,26,,9.3,21.3,15.0,5.4,,,,C0E9_Alegia_2016_ENE,C0E9,Alegia,2016,ENE
C078_Altzola_2016_ENE,0,82.5,1.293,0.577,,22,16,144.9,1.6,20.7,,9.7,20.8,14.6,5.7,,,,C078_Altzola_2016_ENE,C078,Altzola,2016,ENE
C052_Ameraun_2016_ENE,0,78.8,1.080,0.566,,23,18,189.8,2.9,35.9,,8.9,18.6,12.6,5.4,,,,C052_Ameraun_2016_ENE,C052,Ameraun,2016,ENE
C0E1_Amundarain_2016_ENE,3,83.0,0.616,0.314,,24,14,91,1.4,15,,9.1,20.1,14.1,4.5,,,,C0E1_Amundarain_2016_ENE,C0E1,Amundarain,2016,ENE
C077_Andoain_2016_ENE,0,82.8,0.686,0.413,,23,17,118.9,1.5,16.1,,10.3,19.7,14.5,5.9,,,,C077_Andoain_2016_ENE,C077,Andoain,2016,ENE
C080_Añarbe_2016_ENE,0,88.0,0.565,0.317,,22,19,210.6,3,40.3,,9.0,20.3,14.3,4.6,,,,C080_Añarbe_2016_ENE,C080,Añarbe,2016,ENE
C0E8_Araxes_2016_ENE,1,78.8,0.844,0.420,,21,15,121.4,2.6,27.8,,9.0,19.0,13.5,5.0,,,,C0E8_Araxes_2016_ENE,C0E8,Araxes,2016,ENE
C023_Arrasate_2016_ENE,4,77.2,,,,23,16,133.2,1.6,33.5,4.9,8.4,20.7,12.9,4.5,8.5,83.5,47.2,C023_Arrasate_2016_ENE,C023,Arrasate,2016,ENE
C084_Behobia_2016_ENE,0,73.5,,,,22,19,173.4,2.9,28.1,,10.9,22.4,15.0,7.4,,,,C084_Behobia_2016_ENE,C084,Behobia,2016,ENE
C0EA_Belauntza_2016_ENE,0,83.1,0.444,0.242,,22,16,119.1,2.1,23.4,,9.3,19.1,13.7,5.4,,,,C0EA_Belauntza_2016_ENE,C0EA,Belauntza,2016,ENE
C026_Berastegi_2016_ENE,3,80.3,,,,22,18,182.9,2.7,37.9,,8.3,18.7,12.5,3.9,7.0,76.3,39.6,C026_Berastegi_2016_ENE,C026,Berastegi,2016,ENE
C058_Bidania_2016_ENE,1,84.6,,,,21,16,127.7,2,26.2,4.6,7.6,17.9,11.7,4.7,10.9,84.2,45.6,C058_Bidania_2016_ENE,C058,Bidania,2016,ENE
C0F0_Ereñozu_2016_ENE,0,90.6,0.872,0.553,,22,18,158,3.9,31.7,,10.3,20.2,14.5,6.7,,,,C0F0_Ereñozu_2016_ENE,C0F0,Ereñozu,2016,ENE
C0E7_Estanda_2016_ENE,1,83.3,0.570,0.176,,24,16,105.7,1.3,22.1,,9.2,20.1,14.4,4.9,,,,C0E7_Estanda_2016_ENE,C0E7,Estanda,2016,ENE
C018_Higer_2016_ENE,0,79.5,,,,,,,,,4.4,13.2,24.3,16.7,10.1,16.2,105.5,55.2,C018_Higer_2016_ENE,C018,Higer,2016,ENE
C0DC_Ibai Eder_2016_ENE,0,85.8,0.462,0.190,,21,15,121.3,3.1,24.9,4.1,10.8,22.4,16.2,6.2,,,,C0DC_Ibai Eder_2016_ENE,C0DC,Ibai Eder,2016,ENE
C071_Jaizkibel_2016_ENE,0,74.3,,,,,,,,,,9.2,18.4,12.0,6.8,29.1,107.6,67.0,C071_Jaizkibel_2016_ENE,C071,Jaizkibel,2016,ENE
C0EC_Lasarte_2016_ENE,0,75.3,1.214,0.609,,21,18,132.3,2.1,15.7,4.1,10.9,20.6,15.1,7.2,8.7,73.4,43.2,C0EC_Lasarte_2016_ENE,C0EC,Lasarte,2016,ENE
C0DE_Matxinbenta_2016_ENE,0,87.7,0.381,0.139,,23,18,127.7,1.8,28.5,,10.7,20.9,14.9,6.7,,,,C0DE_Matxinbenta_2016_ENE,C0DE,Matxinbenta,2016,ENE
C017_Miramon_2016_ENE,0,74.2,,,,22,18,159.1,2.2,26.1,,10.2,21.4,14.3,6.6,11.4,74.9,48.9,C017_Miramon_2016_ENE,C017,Miramon,2016,ENE
C0F4_Oiartzun_2016_ENE,0,73.6,0.622,0.295,,22,18,160.3,2.6,18.9,,10.9,22.2,15.9,6.4,,,,C0F4_Oiartzun_2016_ENE,C0F4,Oiartzun,2016,ENE
C0D1_Oñati_2016_ENE,1,81.2,0.756,0.377,,21,15,75.3,1,11.9,,8.8,20.1,13.6,4.5,,,,C0D1_Oñati_2016_ENE,C0D1,Oñati,2016,ENE
C043_Ordizia_2016_ENE,0,83.4,,,,24,14,93.3,1.2,20.2,4.3,9.9,20.7,14.5,5.7,8.5,106.9,41.8,C043_Ordizia_2016_ENE,C043,Ordizia,2016,ENE
C0D2_San Prudentzio_2016_ENE,0,,1.020,0.410,,23,16,95.8,1.4,16.5,,9.3,19.8,14.0,5.5,,,,C0D2_San Prudentzio_2016_ENE,C0D2,San Prudentzio,2016,ENE
C007_Santa Clara_2016_ENE,0,69.6,,,,,,,,,4.4,11.7,20.8,15.2,8.6,15.0,96.5,57.7,C007_Santa Clara_2016_ENE,C007,Santa Clara,2016,ENE
C0D0_Urkulu_2016_ENE,2,77.3,0.296,0.149,,22,14,104.6,1.7,19,,9.0,18.3,12.7,5.2,,,,C0D0_Urkulu_2016_ENE,C0D0,Urkulu,2016,ENE
C064_Zarautz_2016_ENE,0,69.5,,,,21,16,110.3,2.8,14.9,,11.7,20.3,15.0,8.6,19.0,118.1,61.9,C064_Zarautz_2016_ENE,C064,Zarautz,2016,ENE
C028_Zegama_2016_ENE,0,81.2,,,,22,18,204.9,1.9,39.6,,8.9,19.2,12.7,5.9,13.8,96.5,59.6,C028_Zegama_2016_ENE,C028,Zegama,2016,ENE
C029_Zizurkil_2016_ENE,0,76.2,,,,19,15,107.7,2.3,19.2,4.3,11.0,20.8,14.9,7.6,14.3,82.4,52.0,C029_Zizurkil_2016_ENE,C029,Zizurkil,2016,ENE
C076_Abetxuko_2019_ENE,12,90.4,2.428,0.498,0.028,19,14,165.3,3.5,35.2,,3.8,13.4,8.0,0.5,,,,C076_Abetxuko_2019_ENE,C076,Abetxuko,2019,ENE
C0A4_Albaina_2019_ENE,12,86.7,1.688,0.429,0.225,,,,,,,3.5,13.4,7.9,-0.1,,,,C0A4_Albaina_2019_ENE,C0A4,Albaina,2019,ENE
C056_Alegria_2019_ENE,11,89.8,1.762,0.500,0.182,18,15,158.3,1.1,31.3,,3.5,13.0,7.2,0.4,8.4,70.2,31.8,C056_Alegria_2019_ENE,C056,Alegria,2019,ENE
C035_Altube_2019_ENE,13,91.4,,,,22,17,268.1,2.1,67.4,4.0,3.2,12.8,6.5,0.1,6.4,63.0,31.2,C035_Altube_2019_ENE,C035,Altube,2019,ENE
C0A3_Antoñana_2019_ENE,13,91.4,1.654,0.609,0.402,,,,,,,3.5,13.6,7.9,0.2,,,,C0A3_Antoñana_2019_ENE,C0A3,Antoñana,2019,ENE
C016_Arkauti_2019_ENE,10,,,,,19,16,152,1.4,28.6,4.4,3.8,13.4,7.7,0.7,9.0,72.4,36.1,C016_Arkauti_2019_ENE,C016,Arkauti,2019,ENE
C025_Beluntza_2019_ENE,9,91.2,,,,,,,,,,3.4,11.7,5.9,1.4,19.0,90.0,48.7,C025_Beluntza_2019_ENE,C025,Beluntza,2019,ENE
C0A2_Egino_2019_ENE,15,91.4,1.603,0.363,0.117,,,,,,,3.1,12.6,6.8,0.0,,,,C0A2_Egino_2019_ENE,C0A2,Egino,2019,ENE
C034_Espejo_2019_ENE,11,88.8,,,,16,13,97.4,1.4,18.8,,4.2,14.3,8.9,0.2,5.2,63.0,29.7,C034_Espejo_2019_ENE,C034,Espejo,2019,ENE
C0AA_Etura_2019_ENE,,,2.798,0.533,0.207,19,16,173.5,1.9,37.5,4.5,,,,,10.2,84.6,36.1,C0AA_Etura_2019_ENE,C0AA,Etura,2019,ENE
C067_Gardea_2019_ENE,5,87.2,1.602,0.384,0.112,22,15,250.5,2.6,47.2,,6.1,17.4,10.1,3.2,5.4,57.2,24.7,C067_Gardea_2019_ENE,C067,Gardea,2019,ENE
C040_Gasteiz_2019_ENE,3,90.1,,,,,,,,,4.6,5.9,14.5,9.1,3.5,9.0,78.5,39.5,C040_Gasteiz_2019_ENE,C040,Gasteiz,2019,ENE
C044_Gorbea_2019_ENE,12,92.6,,,,21,17,411.5,2,105.4,,3.4,11.6,6.9,0.8,,,,C044_Gorbea_2019_ENE,C044,Gorbea,2019,ENE
C048_Herrera_2019_ENE,18,89.3,,,,21,15,107.5,1.6,19.3,3.9,1.8,14.2,4.2,-0.3,22.6,103.7,61.3,C048_Herrera_2019_ENE,C048,Herrera,2019,ENE
C068_Ilarduia_2019_ENE,8,86.1,,,,19,15,244.1,1.4,65.5,,3.7,12.8,7.3,0.6,12.1,94.0,42.9,C068_Ilarduia_2019_ENE,C068,Ilarduia,2019,ENE
C024_Iturrieta_2019_ENE,27,90.4,,,,19,15,169.2,1.5,34.4,4.0,1.2,10.9,4.3,-1.5,14.4,94.0,46.5,C024_Iturrieta_2019_ENE,C024,Iturrieta,2019,ENE
C00A_Kanpezu_2019_ENE,7,83.8,,,,,,,,,4.3,4.6,14.2,8.4,1.4,14.3,74.2,41.7,C00A_Kanpezu_2019_ENE,C00A,Kanpezu,2019,ENE
C047_Kapildui_2019_ENE,16,82.0,,,,21,17,154.4,2.6,29,,1.9,11.6,4.0,0.0,23.9,92.5,57.6,C047_Kapildui_2019_ENE,C047,Kapildui,2019,ENE
C031_Moreda_2019_ENE,0,70.6,,,,12,8,56.7,1,21.8,5.0,6.1,15.7,9.5,3.5,17.3,95.4,46.7,C031_Moreda_2019_ENE,C031,Moreda,2019,ENE
C041_Navarrete_2019_ENE,14,92.4,,,,17,12,109.9,1.4,28,3.7,3.2,13.2,7.1,0.0,9.9,91.1,33.9,C041_Navarrete_2019_ENE,C041,Navarrete,2019,ENE
C055_Ozaeta_2019_ENE,15,86.4,1.983,0.298,0.030,20,16,218,1.9,49.9,,2.9,12.2,6.8,-0.5,,,,C055_Ozaeta_2019_ENE,C055,Ozaeta,2019,ENE
C060_Páganos_2019_ENE,10,75.1,,,,14,9,82.8,1.3,21.7,5.4,3.9,14.0,8.0,0.9,13.0,113.8,50.3,C060_Páganos_2019_ENE,C060,Páganos,2019,ENE
C0A1_Pagoeta_2019_ENE,11,86.1,0.533,0.223,0.193,,,,,,,2.9,12.0,6.3,0.0,,,,C0A1_Pagoeta_2019_ENE,C0A1,Pagoeta,2019,ENE
C021_Roitegi_2019_ENE,15,,,,,,,,,,,2.1,11.8,4.8,-0.4,19.7,92.9,51.0,C021_Roitegi_2019_ENE,C021,Roitegi,2019,ENE
C030_Salvatierra_2019_ENE,14,89.0,,,,22,15,190.7,0.9,35.3,4.5,3.2,13.0,7.9,-0.4,8.8,76.7,34.5,C030_Salvatierra_2019_ENE,C030,Salvatierra,2019,ENE
C051_Saratxo_2019_ENE,5,84.1,2.343,0.413,0.094,18,14,228.7,1.8,46.4,4.0,6.2,17.4,10.0,2.9,4.8,56.9,26.8,C051_Saratxo_2019_ENE,C051,Saratxo,2019,ENE
C0A0_Sarria_2019_ENE,15,91.8,1.661,0.493,0.143,22,18,318.7,1.7,71.8,,2.9,11.9,6.5,-0.1,,,,C0A0_Sarria_2019_ENE,C0A0,Sarria,2019,ENE
C049_Subijana_2019_ENE,15,85.0,,,,17,15,141.7,1.3,33.7,,3.6,13.8,7.7,-0.1,,,,C049_Subijana_2019_ENE,C049,Subijana,2019,ENE
C00B_Tobillas_2019_ENE,16,84.7,,,,16,13,132.7,1.6,26.6,3.9,3.3,13.6,7.5,0.0,5.8,69.5,32.3,C00B_Tobillas_2019_ENE,C00B,Tobillas,2019,ENE
C020_Trebiño_2019_ENE,12,86.3,,,,17,12,90.3,1.3,16.9,4.0,3.5,13.0,7.5,0.0,9.7,71.6,38.9,C020_Trebiño_2019_ENE,C020,Trebiño,2019,ENE
C070_Zaldiaran_2019_ENE,12,90.1,,,,17,11,89.7,2.1,24.5,,2.3,11.1,4.6,0.5,27.3,100.1,57.8,C070_Zaldiaran_2019_ENE,C070,Zaldiaran,2019,ENE
C050_Zambrana_2019_ENE,8,85.4,,,,16,8,55.8,1.2,12.8,4.5,5.0,14.8,9.0,1.5,8.6,78.5,32.6,C050_Zambrana_2019_ENE,C050,Zambrana,2019,ENE
C0B1_Abusu (La Peña)_2019_ENE,3,89.3,3.865,0.778,0.118,22,17,244.7,3.9,38.9,,6.8,17.7,9.9,4.2,,,,C0B1_Abusu (La Peña)_2019_ENE,C0B1,Abusu (La Peña),2019,ENE
C079_Amorebieta_2019_ENE,4,87.6,2.604,0.614,0.214,23,18,283,3.1,49.9,,6.3,17.2,9.7,3.5,,,,C079_Amorebieta_2019_ENE,C079,Amorebieta,2019,ENE
C0C1_Aranguren_2019_ENE,1,85.3,3.796,1.022,0.332,18,15,275.9,3.2,48.1,,7.5,18.1,11.5,4.8,,,,C0C1_Aranguren_2019_ENE,C0C1,Aranguren,2019,ENE
C061_Arboleda_2019_ENE,2,86.9,,,,21,17,230.9,4.5,46.4,,7.3,16.1,9.7,5.0,13.1,83.2,44.1,C061_Arboleda_2019_ENE,C061,Arboleda,2019,ENE
C032_Areta_2019_ENE,5,88.1,1.265,0.376,0.206,23,16,262.7,1.9,50,,6.1,17.4,10.0,3.1,4.2,67.0,26.4,C032_Areta_2019_ENE,C032,Areta,2019,ENE
