year_x,municip_name,species,municip_code,month,year_offset,waspbust_id,colonies_amount,food_fruit,food_apple,food_txakoli,food_kiwi,food_pear,food_blueberry,food_raspberry,station_code,index,MMM,year_y,station_name,code_merge,merge_cod,weath_days_frost,weath_humidity,weath_maxLevel,weath_midLevel,weath_minLevel,weath_days_rain,weath_days_rain1mm,weath_accuRainfall,weath_10minRainfall,weath_1dayRainfall,weath_solar,weath_meanTemp,weath_maxTemp,weath_maxMeanTemp,weath_minTemp,weath_meanWindM,weath_maxWindM,weath_meanDayMaxWind
2018,Abadiño,Vespa Velutina,48001.0,12,2017,1,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,4663.0,DIC,2017.0,Urkiola,C022_Urkiola_2017_DIC,C022_Urkiola_2017_DIC,8.0,92.5,1.05606941,0.31917969,0.198448912,24.0,19.0,293.4,2.2,51.5,3.4,3.7,13.8,6.7,1.3,11.2,103.3,46.7
2018,Abanto y Ciérvana-Abanto Zierbena,Vespa Velutina,48002.0,1,2017,3,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C042,160.0,ENE,2017.0,Punta Galea,C042_Punta Galea_2017_ENE,C042_Punta Galea_2017_ENE,2.0,71.3,1.0870032090000001,0.338207926,0.182314765,9.0,8.0,94.4,1.9,34.0,5.3,8.5,19.4,11.6,5.4,24.1,105.8,55.3
2018,Abanto y Ciérvana-Abanto Zierbena,Vespa Velutina,48002.0,3,2017,2,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C042,978.0,MAR,2017.0,Punta Galea,C042_Punta Galea_2017_MAR,C042_Punta Galea_2017_MAR,0.0,73.5,0.8881142540000001,0.323510017,0.189161164,10.0,9.0,62.0,1.4,30.6,11.4,13.5,26.0,16.8,10.3,18.2,98.6,52.2
2018,Abanto y Ciérvana-Abanto Zierbena,Vespa Velutina,48002.0,4,2017,1,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C042,1387.0,ABR,2017.0,Punta Galea,C042_Punta Galea_2017_ABR,C042_Punta Galea_2017_ABR,0.0,77.2,0.870697807,0.305709693,0.182315703,7.0,7.0,41.7,1.7,13.4,18.4,13.5,24.9,16.5,10.0,16.3,95.8,44.3
2018,Abanto y Ciérvana-Abanto Zierbena,Vespa Velutina,48002.0,5,2017,2,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C042,1796.0,MAY,2017.0,Punta Galea,C042_Punta Galea_2017_MAY,C042_Punta Galea_2017_MAY,0.0,80.6,0.87741511,0.35806789200000005,0.168136134,17.0,8.0,71.4,4.5,31.6,20.8,17.4,32.0,21.3,14.4,15.2,102.2,46.1
2018,Abanto y Ciérvana-Abanto Zierbena,Vespa Velutina,48002.0,6,2017,4,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C042,2205.0,JUN,2017.0,Punta Galea,C042_Punta Galea_2017_JUN,C042_Punta Galea_2017_JUN,0.0,86.4,0.859047445,0.34328050200000004,0.17530801,15.0,13.0,63.9,3.1,13.9,17.5,19.8,32.0,22.7,17.3,15.1,97.9,47.3
2018,Abanto y Ciérvana-Abanto Zierbena,Vespa Velutina,48002.0,7,2017,12,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C042,2614.0,JUL,2017.0,Punta Galea,C042_Punta Galea_2017_JUL,C042_Punta Galea_2017_JUL,0.0,82.2,0.850598517,0.34474932799999997,0.17243911399999998,12.0,7.0,28.8,2.5,12.3,19.8,19.8,32.1,22.9,17.3,13.7,78.1,37.6
2018,Abanto y Ciérvana-Abanto Zierbena,Vespa Velutina,48002.0,8,2017,12,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C042,3023.0,AGO,2017.0,Punta Galea,C042_Punta Galea_2017_AGO,C042_Punta Galea_2017_AGO,0.0,78.9,0.90711687,0.35725268,0.17946579,13.0,11.0,64.6,4.4,14.5,18.0,20.2,35.7,23.7,17.2,14.5,72.7,39.8
2018,Abanto y Ciérvana-Abanto Zierbena,Vespa Velutina,48002.0,9,2017,19,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C042,3432.0,SET,2017.0,Punta Galea,C042_Punta Galea_2017_SET,C042_Punta Galea_2017_SET,0.0,79.4,0.8760076459999999,0.371895746,0.198964931,19.0,14.0,115.6,3.6,24.0,14.0,17.9,29.8,21.1,14.9,15.4,84.2,43.4
2018,Abanto y Ciérvana-Abanto Zierbena,Vespa Velutina,48002.0,10,2017,21,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C042,3841.0,OCT,2017.0,Punta Galea,C042_Punta Galea_2017_OCT,C042_Punta Galea_2017_OCT,0.0,78.3,0.813775045,0.306401953,0.18714206600000002,11.0,7.0,22.8,0.6,6.0,10.1,17.2,29.6,21.1,13.7,15.8,83.9,42.9
2018,Abanto y Ciérvana-Abanto Zierbena,Vespa Velutina,48002.0,11,2017,12,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C042,4250.0,NOV,2017.0,Punta Galea,C042_Punta Galea_2017_NOV,C042_Punta Galea_2017_NOV,0.0,71.2,1.029373967,0.315901544,0.166973151,17.0,15.0,201.7,3.4,39.3,6.3,12.6,23.9,16.1,9.3,22.0,99.0,59.0
2018,Abanto y Ciérvana-Abanto Zierbena,Vespa Velutina,48002.0,12,2017,4,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C042,4659.0,DIC,2017.0,Punta Galea,C042_Punta Galea_2017_DIC,C042_Punta Galea_2017_DIC,0.0,75.4,1.056239135,0.261852191,0.17964251899999997,23.0,21.0,220.9,3.0,33.4,3.6,10.2,19.9,13.3,7.3,23.4,145.1,66.8
2018,Ajangiz,Vespa Velutina,48911.0,2,2017,1,0.0,17.0,1.0,3.0,15.0,0.0,0.0,0.0,C079,539.0,FEB,2017.0,Amorebieta,C079_Amorebieta_2017_FEB,C079_Amorebieta_2017_FEB,0.0,74.1,1.275,0.496,0.25627659,12.0,10.0,112.0,2.9,28.6,12.53888016,10.0,20.2,15.6,5.1,10.29142197,75.58447085,40.11541931
2018,Ajangiz,Vespa Velutina,48911.0,3,2017,1,0.0,17.0,1.0,3.0,15.0,0.0,0.0,0.0,C079,948.0,MAR,2017.0,Amorebieta,C079_Amorebieta_2017_MAR,C079_Amorebieta_2017_MAR,1.0,73.2,1.34,0.484,0.23734096,13.0,10.0,101.6,1.8,30.2,12.52108475,11.4,26.9,17.0,6.4,10.29497351,74.44756069,40.13255684
2018,Ajangiz,Vespa Velutina,48911.0,4,2017,1,0.0,17.0,1.0,3.0,15.0,0.0,0.0,0.0,C079,1357.0,ABR,2017.0,Amorebieta,C079_Amorebieta_2017_ABR,C079_Amorebieta_2017_ABR,0.0,71.7,0.867,0.396,0.233913165,8.0,8.0,78.3,2.1,15.2,12.53482935,11.9,28.3,18.2,6.0,10.5718614,74.31770264,40.11217369
2018,Ajangiz,Vespa Velutina,48911.0,5,2017,1,0.0,17.0,1.0,3.0,15.0,0.0,0.0,0.0,C079,1766.0,MAY,2017.0,Amorebieta,C079_Amorebieta_2017_MAY,C079_Amorebieta_2017_MAY,0.0,71.8,0.972,0.33299999999999996,0.17534877699999998,12.0,9.0,66.2,2.9,27.4,12.5071795,16.9,35.2,23.3,11.4,10.71033051,73.54702181,40.09578858
2018,Ajangiz,Vespa Velutina,48911.0,7,2017,3,0.0,17.0,1.0,3.0,15.0,0.0,0.0,0.0,C079,2584.0,JUL,2017.0,Amorebieta,C079_Amorebieta_2017_JUL,C079_Amorebieta_2017_JUL,0.0,80.0,0.6629999999999999,0.299,0.199060387,14.0,7.0,70.4,3.1,26.8,12.55381054,19.7,37.3,25.0,15.3,11.39887132,75.07508418,40.26126376
2018,Ajangiz,Vespa Velutina,48911.0,8,2017,4,0.0,17.0,1.0,3.0,15.0,0.0,0.0,0.0,C079,2993.0,AGO,2017.0,Amorebieta,C079_Amorebieta_2017_AGO,C079_Amorebieta_2017_AGO,0.0,81.1,0.44,0.265,0.19991013100000002,13.0,10.0,55.2,3.9,13.4,12.527689,19.7,36.8,25.4,15.2,11.442227599999999,75.04279021,40.27864096
2018,Ajangiz,Vespa Velutina,48911.0,9,2017,4,0.0,17.0,1.0,3.0,15.0,0.0,0.0,0.0,C079,3402.0,SET,2017.0,Amorebieta,C079_Amorebieta_2017_SET,C079_Amorebieta_2017_SET,0.0,85.3,0.7240000000000001,0.33399999999999996,0.19699072399999998,19.0,13.0,115.1,3.3,29.4,12.55258898,16.6,32.3,22.0,12.1,11.65164552,76.22531558,40.21253525
2018,Ajangiz,Vespa Velutina,48911.0,10,2017,2,0.0,17.0,1.0,3.0,15.0,0.0,0.0,0.0,C079,3811.0,OCT,2017.0,Amorebieta,C079_Amorebieta_2017_OCT,C079_Amorebieta_2017_OCT,0.0,85.9,0.34700000000000003,0.251,0.193992935,11.0,7.0,18.0,0.9,4.6,12.57006268,15.6,30.0,22.3,10.8,11.85887653,74.91604298,40.21777984
2018,Ajangiz,Vespa Velutina,48911.0,12,2017,2,0.0,17.0,1.0,3.0,15.0,0.0,0.0,0.0,C079,4629.0,DIC,2017.0,Amorebieta,C079_Amorebieta_2017_DIC,C079_Amorebieta_2017_DIC,2.0,91.6,1.9909999999999999,0.812,0.21728349800000002,23.0,22.0,327.2,3.2,47.1,12.53649097,7.5,19.6,12.0,4.2,11.01167656,75.79830384,40.16344470000001
2018,Alonsotegi,Vespa Velutina,48912.0,2,2017,1,200.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,C042,569.0,FEB,2017.0,Punta Galea,C042_Punta Galea_2017_FEB,C042_Punta Galea_2017_FEB,0.0,70.9,0.9796176109999999,0.320442908,0.18227514,14.0,9.0,69.5,2.5,17.1,8.4,12.4,20.1,15.8,9.2,21.1,131.0,63.8
2018,Alonsotegi,Vespa Velutina,48912.0,4,2017,1,200.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,C042,1387.0,ABR,2017.0,Punta Galea,C042_Punta Galea_2017_ABR,C042_Punta Galea_2017_ABR,0.0,77.2,0.870697807,0.305709693,0.182315703,7.0,7.0,41.7,1.7,13.4,18.4,13.5,24.9,16.5,10.0,16.3,95.8,44.3
2018,Alonsotegi,Vespa Velutina,48912.0,6,2017,2,200.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,C042,2205.0,JUN,2017.0,Punta Galea,C042_Punta Galea_2017_JUN,C042_Punta Galea_2017_JUN,0.0,86.4,0.859047445,0.34328050200000004,0.17530801,15.0,13.0,63.9,3.1,13.9,17.5,19.8,32.0,22.7,17.3,15.1,97.9,47.3
2018,Alonsotegi,Vespa Velutina,48912.0,7,2017,4,200.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,C042,2614.0,JUL,2017.0,Punta Galea,C042_Punta Galea_2017_JUL,C042_Punta Galea_2017_JUL,0.0,82.2,0.850598517,0.34474932799999997,0.17243911399999998,12.0,7.0,28.8,2.5,12.3,19.8,19.8,32.1,22.9,17.3,13.7,78.1,37.6
2018,Alonsotegi,Vespa Velutina,48912.0,8,2017,10,200.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,C042,3023.0,AGO,2017.0,Punta Galea,C042_Punta Galea_2017_AGO,C042_Punta Galea_2017_AGO,0.0,78.9,0.90711687,0.35725268,0.17946579,13.0,11.0,64.6,4.4,14.5,18.0,20.2,35.7,23.7,17.2,14.5,72.7,39.8
2018,Alonsotegi,Vespa Velutina,48912.0,9,2017,3,200.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,C042,3432.0,SET,2017.0,Punta Galea,C042_Punta Galea_2017_SET,C042_Punta Galea_2017_SET,0.0,79.4,0.8760076459999999,0.371895746,0.198964931,19.0,14.0,115.6,3.6,24.0,14.0,17.9,29.8,21.1,14.9,15.4,84.2,43.4
2018,Alonsotegi,Vespa Velutina,48912.0,10,2017,4,200.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,C042,3841.0,OCT,2017.0,Punta Galea,C042_Punta Galea_2017_OCT,C042_Punta Galea_2017_OCT,0.0,78.3,0.813775045,0.306401953,0.18714206600000002,11.0,7.0,22.8,0.6,6.0,10.1,17.2,29.6,21.1,13.7,15.8,83.9,42.9
2018,Alonsotegi,Vespa Velutina,48912.0,12,2017,1,200.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,C042,4659.0,DIC,2017.0,Punta Galea,C042_Punta Galea_2017_DIC,C042_Punta Galea_2017_DIC,0.0,75.4,1.056239135,0.261852191,0.17964251899999997,23.0,21.0,220.9,3.0,33.4,3.6,10.2,19.9,13.3,7.3,23.4,145.1,66.8
2018,Amorebieta-Etxano,Vespa Velutina,48003.0,1,2017,6,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,130.0,ENE,2017.0,Amorebieta,C079_Amorebieta_2017_ENE,C079_Amorebieta_2017_ENE,16.0,88.5,2.734,0.617,0.186771973,10.0,8.0,188.2,2.1,54.2,12.51424244,4.8,19.4,10.5,0.6,10.82732627,80.84788956,40.03274306
2018,Amorebieta-Etxano,Vespa Velutina,48003.0,2,2017,3,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,539.0,FEB,2017.0,Amorebieta,C079_Amorebieta_2017_FEB,C079_Amorebieta_2017_FEB,0.0,74.1,1.275,0.496,0.25627659,12.0,10.0,112.0,2.9,28.6,12.53888016,10.0,20.2,15.6,5.1,10.29142197,75.58447085,40.11541931
2018,Amorebieta-Etxano,Vespa Velutina,48003.0,3,2017,3,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,948.0,MAR,2017.0,Amorebieta,C079_Amorebieta_2017_MAR,C079_Amorebieta_2017_MAR,1.0,73.2,1.34,0.484,0.23734096,13.0,10.0,101.6,1.8,30.2,12.52108475,11.4,26.9,17.0,6.4,10.29497351,74.44756069,40.13255684
2018,Amorebieta-Etxano,Vespa Velutina,48003.0,4,2017,3,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,1357.0,ABR,2017.0,Amorebieta,C079_Amorebieta_2017_ABR,C079_Amorebieta_2017_ABR,0.0,71.7,0.867,0.396,0.233913165,8.0,8.0,78.3,2.1,15.2,12.53482935,11.9,28.3,18.2,6.0,10.5718614,74.31770264,40.11217369
2018,Amorebieta-Etxano,Vespa Velutina,48003.0,5,2017,5,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,1766.0,MAY,2017.0,Amorebieta,C079_Amorebieta_2017_MAY,C079_Amorebieta_2017_MAY,0.0,71.8,0.972,0.33299999999999996,0.17534877699999998,12.0,9.0,66.2,2.9,27.4,12.5071795,16.9,35.2,23.3,11.4,10.71033051,73.54702181,40.09578858
2018,Amorebieta-Etxano,Vespa Velutina,48003.0,6,2017,4,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,2175.0,JUN,2017.0,Amorebieta,C079_Amorebieta_2017_JUN,C079_Amorebieta_2017_JUN,0.0,79.4,0.467,0.298,0.20503706100000002,16.0,9.0,73.9,5.5,18.6,12.52481759,19.2,38.4,24.6,14.9,11.415680900000002,74.42665041,40.20359792
2018,Amorebieta-Etxano,Vespa Velutina,48003.0,7,2017,22,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,2584.0,JUL,2017.0,Amorebieta,C079_Amorebieta_2017_JUL,C079_Amorebieta_2017_JUL,0.0,80.0,0.6629999999999999,0.299,0.199060387,14.0,7.0,70.4,3.1,26.8,12.55381054,19.7,37.3,25.0,15.3,11.39887132,75.07508418,40.26126376
2018,Amorebieta-Etxano,Vespa Velutina,48003.0,8,2017,15,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,2993.0,AGO,2017.0,Amorebieta,C079_Amorebieta_2017_AGO,C079_Amorebieta_2017_AGO,0.0,81.1,0.44,0.265,0.19991013100000002,13.0,10.0,55.2,3.9,13.4,12.527689,19.7,36.8,25.4,15.2,11.442227599999999,75.04279021,40.27864096
2018,Amorebieta-Etxano,Vespa Velutina,48003.0,9,2017,14,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,3402.0,SET,2017.0,Amorebieta,C079_Amorebieta_2017_SET,C079_Amorebieta_2017_SET,0.0,85.3,0.7240000000000001,0.33399999999999996,0.19699072399999998,19.0,13.0,115.1,3.3,29.4,12.55258898,16.6,32.3,22.0,12.1,11.65164552,76.22531558,40.21253525
2018,Amorebieta-Etxano,Vespa Velutina,48003.0,10,2017,22,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,3811.0,OCT,2017.0,Amorebieta,C079_Amorebieta_2017_OCT,C079_Amorebieta_2017_OCT,0.0,85.9,0.34700000000000003,0.251,0.193992935,11.0,7.0,18.0,0.9,4.6,12.57006268,15.6,30.0,22.3,10.8,11.85887653,74.91604298,40.21777984
2018,Amorebieta-Etxano,Vespa Velutina,48003.0,11,2017,11,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,4220.0,NOV,2017.0,Amorebieta,C079_Amorebieta_2017_NOV,C079_Amorebieta_2017_NOV,0.0,87.0,1.228,0.465,0.20235387600000002,16.0,16.0,193.4,1.9,38.7,12.53616383,9.6,23.0,15.2,5.5,11.57605719,74.87101154,40.16235965
2018,Amorebieta-Etxano,Vespa Velutina,48003.0,12,2017,17,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,4629.0,DIC,2017.0,Amorebieta,C079_Amorebieta_2017_DIC,C079_Amorebieta_2017_DIC,2.0,91.6,1.9909999999999999,0.812,0.21728349800000002,23.0,22.0,327.2,3.2,47.1,12.53649097,7.5,19.6,12.0,4.2,11.01167656,75.79830384,40.16344470000001
2018,Amoroto,Vespa Velutina,48004.0,6,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0BA,2200.0,JUN,2017.0,Oleta,C0BA_Oleta_2017_JUN,C0BA_Oleta_2017_JUN,0.0,82.7,0.34,0.151,0.167083503,17.0,11.0,62.9,4.7,23.9,12.55295246,19.3,37.0,23.9,15.3,11.6691992,75.00965694,40.26860162
2018,Amoroto,Vespa Velutina,48004.0,7,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0BA,2609.0,JUL,2017.0,Oleta,C0BA_Oleta_2017_JUL,C0BA_Oleta_2017_JUL,0.0,83.3,0.436,0.13699999999999998,0.164477652,16.0,5.0,46.1,3.3,12.8,12.51732052,19.8,36.5,24.4,15.9,11.61275355,75.24474808,40.30916617
2018,Amoroto,Vespa Velutina,48004.0,10,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0BA,3836.0,OCT,2017.0,Oleta,C0BA_Oleta_2017_OCT,C0BA_Oleta_2017_OCT,0.0,86.9,0.29600000000000004,0.147,0.186425011,11.0,7.0,53.2,2.1,21.7,12.57156934,16.0,30.7,21.5,11.9,11.91690161,75.1673536,40.24252984
2018,Amoroto,Vespa Velutina,48004.0,11,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0BA,4245.0,NOV,2017.0,Oleta,C0BA_Oleta_2017_NOV,C0BA_Oleta_2017_NOV,0.0,84.0,1.0,0.305,0.17942311800000002,18.0,16.0,175.8,4.0,24.4,12.53786678,10.9,24.8,16.2,6.7,11.39337092,73.8915298,40.11725218
2018,Arakaldo,Vespa Velutina,48005.0,8,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B4,3021.0,AGO,2017.0,Orozko,C0B4_Orozko_2017_AGO,C0B4_Orozko_2017_AGO,0.0,81.0,0.016,0.012,0.180330713,14.0,10.0,38.8,6.2,9.2,12.53575694,19.3,37.2,26.0,14.6,4.9,37.1,28.7
2018,Arakaldo,Vespa Velutina,48005.0,9,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B4,3430.0,SET,2017.0,Orozko,C0B4_Orozko_2017_SET,C0B4_Orozko_2017_SET,0.0,84.5,0.024,0.02,0.19547618600000002,14.0,11.0,54.9,2.6,15.8,12.55993585,16.2,30.8,22.4,11.4,4.0,38.9,25.8
2018,Arakaldo,Vespa Velutina,48005.0,12,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B4,4657.0,DIC,2017.0,Orozko,C0B4_Orozko_2017_DIC,C0B4_Orozko_2017_DIC,1.0,90.8,0.87,0.305,0.186408452,24.0,20.0,237.8,1.6,47.5,12.65094083,7.0,18.7,11.1,3.8,4.5,79.2,27.7
2018,Arantzazu,Vespa Velutina,48006.0,5,2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,1766.0,MAY,2017.0,Amorebieta,C079_Amorebieta_2017_MAY,C079_Amorebieta_2017_MAY,0.0,71.8,0.972,0.33299999999999996,0.17534877699999998,12.0,9.0,66.2,2.9,27.4,12.5071795,16.9,35.2,23.3,11.4,10.71033051,73.54702181,40.09578858
2018,Arantzazu,Vespa Velutina,48006.0,7,2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,2584.0,JUL,2017.0,Amorebieta,C079_Amorebieta_2017_JUL,C079_Amorebieta_2017_JUL,0.0,80.0,0.6629999999999999,0.299,0.199060387,14.0,7.0,70.4,3.1,26.8,12.55381054,19.7,37.3,25.0,15.3,11.39887132,75.07508418,40.26126376
2018,Arantzazu,Vespa Velutina,48006.0,8,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,2993.0,AGO,2017.0,Amorebieta,C079_Amorebieta_2017_AGO,C079_Amorebieta_2017_AGO,0.0,81.1,0.44,0.265,0.19991013100000002,13.0,10.0,55.2,3.9,13.4,12.527689,19.7,36.8,25.4,15.2,11.442227599999999,75.04279021,40.27864096
2018,Arantzazu,Vespa Velutina,48006.0,10,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,3811.0,OCT,2017.0,Amorebieta,C079_Amorebieta_2017_OCT,C079_Amorebieta_2017_OCT,0.0,85.9,0.34700000000000003,0.251,0.193992935,11.0,7.0,18.0,0.9,4.6,12.57006268,15.6,30.0,22.3,10.8,11.85887653,74.91604298,40.21777984
2018,Arantzazu,Vespa Velutina,48006.0,12,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,4629.0,DIC,2017.0,Amorebieta,C079_Amorebieta_2017_DIC,C079_Amorebieta_2017_DIC,2.0,91.6,1.9909999999999999,0.812,0.21728349800000002,23.0,22.0,327.2,3.2,47.1,12.53649097,7.5,19.6,12.0,4.2,11.01167656,75.79830384,40.16344470000001
2018,Areatza,Vespa Velutina,48093.0,2,2017,1,35.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B4,567.0,FEB,2017.0,Orozko,C0B4_Orozko_2017_FEB,C0B4_Orozko_2017_FEB,0.0,78.0,0.506,0.13,0.17896084399999998,12.0,11.0,74.7,1.8,17.3,12.65997552,9.6,20.0,15.1,5.0,6.6,77.0,34.9
2018,Areatza,Vespa Velutina,48093.0,5,2017,2,35.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B4,1794.0,MAY,2017.0,Orozko,C0B4_Orozko_2017_MAY,C0B4_Orozko_2017_MAY,0.0,75.3,0.34299999999999997,0.048,0.12183882,13.0,10.0,86.6,4.4,26.1,12.53083371,16.4,35.2,23.6,10.5,5.2,54.0,29.5
