year,municip_name,species,municip_code,month,year_offset
2020,Ibarrangelu,Vespa Velutina,48048,1,2019
2020,Igorre,Vespa Velutina,48094,1,2019
2020,Ispaster,Vespa Velutina,48049,1,2019
2020,Iurreta,Vespa Velutina,48910,1,2019
2020,Izurtza,Vespa Velutina,48050,1,2019
2020,Karrantza Harana/Valle de Carranza,Vespa Velutina,48022,1,2019
2020,Kortezubi,Vespa Velutina,48907,1,2019
2020,Larrabetzu,Vespa Velutina,48052,1,2019
2020,Laukiz,Vespa Velutina,48053,1,2019
2020,Leioa,Vespa Velutina,48054,1,2019
2020,Lekeitio,Vespa Velutina,48057,1,2019
2020,Lemoa,Vespa Velutina,48055,1,2019
2020,Lemoiz,Vespa Velutina,48056,1,2019
2020,Lezama,Vespa Velutina,48081,1,2019
2020,Loiu,Vespa Velutina,48903,1,2019
2020,Mallabia,Vespa Velutina,48058,1,2019
2020,Markina-Xemein,Vespa Velutina,48060,1,2019
2020,Maruri-Jatabe,Vespa Velutina,48061,1,2019
2020,MaÃ±aria,Vespa Velutina,48059,1,2019
2020,Mendata,Vespa Velutina,48062,1,2019
2020,Mendexa,Vespa Velutina,48063,1,2019
2020,MeÃ±aka,Vespa Velutina,48064,1,2019
2020,Morga,Vespa Velutina,48066,1,2019
2020,Mundaka,Vespa Velutina,48068,1,2019
2020,Mungia,Vespa Velutina,48069,1,2019
2020,Munitibar-Arbatzegi Gerrikaitz,Vespa Velutina,48007,1,2019
2020,Murueta,Vespa Velutina,48908,1,2019
2020,Muskiz,Vespa Velutina,48071,1,2019
2020,Muxika,Vespa Velutina,48067,1,2019
2020,Nabarniz,Vespa Velutina,48909,1,2019
2020,Ondarroa,Vespa Velutina,48073,1,2019
2020,Orozko,Vespa Velutina,48075,1,2019
2020,Ortuella,Vespa Velutina,48083,1,2019
2020,Otxandio,Vespa Velutina,48072,1,2019
2020,Plentzia,Vespa Velutina,48077,1,2019
2020,Portugalete,Vespa Velutina,48078,1,2019
2020,Santurtzi,Vespa Velutina,48082,1,2019
2020,Sestao,Vespa Velutina,48084,1,2019
2020,Sondika,Vespa Velutina,48904,1,2019
2020,Sopela,Vespa Velutina,48085,1,2019
2020,Sopuerta,Vespa Velutina,48086,1,2019
2020,Sukarrieta,Vespa Velutina,48076,1,2019
2020,Trucios-Turtzioz,Vespa Velutina,48087,1,2019
2020,Ubide,Vespa Velutina,48088,1,2019
2020,Ugao-Miraballes,Vespa Velutina,48065,1,2019
2020,Urduliz,Vespa Velutina,48089,1,2019
2020,UrduÃ±a/OrduÃ±a,Vespa Velutina,48074,1,2019
2020,Valle de TrÃ¡paga-Trapagaran,Vespa Velutina,48080,1,2019
2020,Zaldibar,Vespa Velutina,48095,1,2019
2020,Zalla,Vespa Velutina,48096,1,2019
2020,Zamudio,Vespa Velutina,48905,1,2019
2020,Zaratamo,Vespa Velutina,48097,1,2019
2020,Zeanuri,Vespa Velutina,48024,1,2019
2020,Zeberio,Vespa Velutina,48025,1,2019
2020,Zierbena,Vespa Velutina,48913,1,2019
2020,Ziortza-Bolibar,Vespa Velutina,48915,1,2019
2020,Lanestosa,Vespa Velutina,48051,1,2019
2020,AbadiÃ±o,Vespa Velutina,48001,2,2019
2020,Abanto y CiÃ©rvana-Abanto Zierbena,Vespa Velutina,48002,2,2019
2020,Ajangiz,Vespa Velutina,48911,2,2019
2020,Alonsotegi,Vespa Velutina,48912,2,2019
2020,Amorebieta-Etxano,Vespa Velutina,48003,2,2019
2020,Amoroto,Vespa Velutina,48004,2,2019
2020,Arakaldo,Vespa Velutina,48005,2,2019
2020,Arantzazu,Vespa Velutina,48006,2,2019
2020,Areatza,Vespa Velutina,48093,2,2019
2020,Arrankudiaga,Vespa Velutina,48009,2,2019
2020,Arratzu,Vespa Velutina,48914,2,2019
2020,Arrieta,Vespa Velutina,48010,2,2019
2020,Arrigorriaga,Vespa Velutina,48011,2,2019
2020,Artea,Vespa Velutina,48023,2,2019
2020,Artzentales,Vespa Velutina,48008,2,2019
2020,Atxondo,Vespa Velutina,48091,2,2019
2020,Aulesti,Vespa Velutina,48070,2,2019
2020,Bakio,Vespa Velutina,48012,2,2019
2020,Balmaseda,Vespa Velutina,48090,2,2019
2020,Barakaldo,Vespa Velutina,48013,2,2019
2020,Barrika,Vespa Velutina,48014,2,2019
2020,Basauri,Vespa Velutina,48015,2,2019
2020,Bedia,Vespa Velutina,48092,2,2019
2020,Berango,Vespa Velutina,48016,2,2019
2020,Bermeo,Vespa Velutina,48017,2,2019
2020,Berriatua,Vespa Velutina,48018,2,2019
2020,Berriz,Vespa Velutina,48019,2,2019
2020,Busturia,Vespa Velutina,48021,2,2019
2020,Derio,Vespa Velutina,48901,2,2019
2020,Dima,Vespa Velutina,48026,2,2019
2020,Durango,Vespa Velutina,48027,2,2019
2020,Ea,Vespa Velutina,48028,2,2019
2020,Elantxobe,Vespa Velutina,48031,2,2019
2020,Elorrio,Vespa Velutina,48032,2,2019
2020,Erandio,Vespa Velutina,48902,2,2019
2020,EreÃ±o,Vespa Velutina,48033,2,2019
2020,Ermua,Vespa Velutina,48034,2,2019
2020,Errigoiti,Vespa Velutina,48079,2,2019
2020,Etxebarri,Vespa Velutina,48029,2,2019
2020,Etxebarria,Vespa Velutina,48030,2,2019
2020,Forua,Vespa Velutina,48906,2,2019
2020,Fruiz,Vespa Velutina,48035,2,2019
2020,Galdakao,Vespa Velutina,48036,2,2019
2020,Galdames,Vespa Velutina,48037,2,2019
2020,Gamiz-Fika,Vespa Velutina,48038,2,2019
2020,Garai,Vespa Velutina,48039,2,2019
2020,Gatika,Vespa Velutina,48040,2,2019
2020,Gautegiz Arteaga,Vespa Velutina,48041,2,2019
2020,Gernika-Lumo,Vespa Velutina,48046,2,2019
2020,Getxo,Vespa Velutina,48044,2,2019
2020,Gizaburuaga,Vespa Velutina,48047,2,2019
2020,Gordexola,Vespa Velutina,48042,2,2019
2020,Gorliz,Vespa Velutina,48043,2,2019
2020,GÃ¼eÃ±es,Vespa Velutina,48045,2,2019
2020,Ibarrangelu,Vespa Velutina,48048,2,2019
2020,Igorre,Vespa Velutina,48094,2,2019
2020,Ispaster,Vespa Velutina,48049,2,2019
2020,Iurreta,Vespa Velutina,48910,2,2019
2020,Izurtza,Vespa Velutina,48050,2,2019
2020,Karrantza Harana/Valle de Carranza,Vespa Velutina,48022,2,2019
2020,Kortezubi,Vespa Velutina,48907,2,2019
2020,Larrabetzu,Vespa Velutina,48052,2,2019
2020,Laukiz,Vespa Velutina,48053,2,2019
2020,Leioa,Vespa Velutina,48054,2,2019
2020,Lekeitio,Vespa Velutina,48057,2,2019
2020,Lemoa,Vespa Velutina,48055,2,2019
2020,Lemoiz,Vespa Velutina,48056,2,2019
2020,Lezama,Vespa Velutina,48081,2,2019
2020,Loiu,Vespa Velutina,48903,2,2019
2020,Mallabia,Vespa Velutina,48058,2,2019
2020,Markina-Xemein,Vespa Velutina,48060,2,2019
2020,Maruri-Jatabe,Vespa Velutina,48061,2,2019
2020,MaÃ±aria,Vespa Velutina,48059,2,2019
2020,Mendata,Vespa Velutina,48062,2,2019
2020,Mendexa,Vespa Velutina,48063,2,2019
2020,MeÃ±aka,Vespa Velutina,48064,2,2019
2020,Morga,Vespa Velutina,48066,2,2019
2020,Mundaka,Vespa Velutina,48068,2,2019
2020,Mungia,Vespa Velutina,48069,2,2019
2020,Munitibar-Arbatzegi Gerrikaitz,Vespa Velutina,48007,2,2019
2020,Murueta,Vespa Velutina,48908,2,2019
2020,Muskiz,Vespa Velutina,48071,2,2019
2020,Muxika,Vespa Velutina,48067,2,2019
2020,Nabarniz,Vespa Velutina,48909,2,2019
2020,Ondarroa,Vespa Velutina,48073,2,2019
2020,Orozko,Vespa Velutina,48075,2,2019
2020,Ortuella,Vespa Velutina,48083,2,2019
2020,Otxandio,Vespa Velutina,48072,2,2019
2020,Plentzia,Vespa Velutina,48077,2,2019
2020,Portugalete,Vespa Velutina,48078,2,2019
2020,Santurtzi,Vespa Velutina,48082,2,2019
2020,Sestao,Vespa Velutina,48084,2,2019
2020,Sondika,Vespa Velutina,48904,2,2019
2020,Sopela,Vespa Velutina,48085,2,2019
2020,Sopuerta,Vespa Velutina,48086,2,2019
2020,Sukarrieta,Vespa Velutina,48076,2,2019
2020,Trucios-Turtzioz,Vespa Velutina,48087,2,2019
2020,Ubide,Vespa Velutina,48088,2,2019
2020,Ugao-Miraballes,Vespa Velutina,48065,2,2019
2020,Urduliz,Vespa Velutina,48089,2,2019
2020,UrduÃ±a/OrduÃ±a,Vespa Velutina,48074,2,2019
2020,Valle de TrÃ¡paga-Trapagaran,Vespa Velutina,48080,2,2019
2020,Zaldibar,Vespa Velutina,48095,2,2019
2020,Zalla,Vespa Velutina,48096,2,2019
2020,Zamudio,Vespa Velutina,48905,2,2019
2020,Zaratamo,Vespa Velutina,48097,2,2019
2020,Zeanuri,Vespa Velutina,48024,2,2019
2020,Zeberio,Vespa Velutina,48025,2,2019
2020,Zierbena,Vespa Velutina,48913,2,2019
2020,Ziortza-Bolibar,Vespa Velutina,48915,2,2019
2020,Lanestosa,Vespa Velutina,48051,2,2019
2020,AbadiÃ±o,Vespa Velutina,48001,3,2019
2020,Abanto y CiÃ©rvana-Abanto Zierbena,Vespa Velutina,48002,3,2019
2020,Ajangiz,Vespa Velutina,48911,3,2019
2020,Alonsotegi,Vespa Velutina,48912,3,2019
2020,Amorebieta-Etxano,Vespa Velutina,48003,3,2019
2020,Amoroto,Vespa Velutina,48004,3,2019
2020,Arakaldo,Vespa Velutina,48005,3,2019
2020,Arantzazu,Vespa Velutina,48006,3,2019
2020,Areatza,Vespa Velutina,48093,3,2019
2020,Arrankudiaga,Vespa Velutina,48009,3,2019
2020,Arratzu,Vespa Velutina,48914,3,2019
2020,Arrieta,Vespa Velutina,48010,3,2019
2020,Arrigorriaga,Vespa Velutina,48011,3,2019
2020,Artea,Vespa Velutina,48023,3,2019
2020,Artzentales,Vespa Velutina,48008,3,2019
2020,Atxondo,Vespa Velutina,48091,3,2019
2020,Aulesti,Vespa Velutina,48070,3,2019
2020,Bakio,Vespa Velutina,48012,3,2019
2020,Balmaseda,Vespa Velutina,48090,3,2019
2020,Barakaldo,Vespa Velutina,48013,3,2019
2020,Barrika,Vespa Velutina,48014,3,2019
2020,Basauri,Vespa Velutina,48015,3,2019
2020,Bedia,Vespa Velutina,48092,3,2019
2020,Berango,Vespa Velutina,48016,3,2019
2020,Bermeo,Vespa Velutina,48017,3,2019
2020,Berriatua,Vespa Velutina,48018,3,2019
2020,Berriz,Vespa Velutina,48019,3,2019
2020,Busturia,Vespa Velutina,48021,3,2019
2020,Derio,Vespa Velutina,48901,3,2019
2020,Dima,Vespa Velutina,48026,3,2019
2020,Durango,Vespa Velutina,48027,3,2019
2020,Ea,Vespa Velutina,48028,3,2019
2020,Elantxobe,Vespa Velutina,48031,3,2019
2020,Elorrio,Vespa Velutina,48032,3,2019
2020,Erandio,Vespa Velutina,48902,3,2019
2020,EreÃ±o,Vespa Velutina,48033,3,2019
2020,Ermua,Vespa Velutina,48034,3,2019
2020,Errigoiti,Vespa Velutina,48079,3,2019
2020,Etxebarri,Vespa Velutina,48029,3,2019
2020,Etxebarria,Vespa Velutina,48030,3,2019
2020,Forua,Vespa Velutina,48906,3,2019
2020,Fruiz,Vespa Velutina,48035,3,2019
2020,Galdakao,Vespa Velutina,48036,3,2019
2020,Galdames,Vespa Velutina,48037,3,2019
2020,Gamiz-Fika,Vespa Velutina,48038,3,2019
2020,Garai,Vespa Velutina,48039,3,2019
2020,Gatika,Vespa Velutina,48040,3,2019
2020,Gautegiz Arteaga,Vespa Velutina,48041,3,2019
2020,Gernika-Lumo,Vespa Velutina,48046,3,2019
2020,Getxo,Vespa Velutina,48044,3,2019
2020,Gizaburuaga,Vespa Velutina,48047,3,2019
2020,Gordexola,Vespa Velutina,48042,3,2019
2020,Gorliz,Vespa Velutina,48043,3,2019
2020,GÃ¼eÃ±es,Vespa Velutina,48045,3,2019
2020,Ibarrangelu,Vespa Velutina,48048,3,2019
2020,Igorre,Vespa Velutina,48094,3,2019
2020,Ispaster,Vespa Velutina,48049,3,2019
2020,Iurreta,Vespa Velutina,48910,3,2019
2020,Izurtza,Vespa Velutina,48050,3,2019
2020,Karrantza Harana/Valle de Carranza,Vespa Velutina,48022,3,2019
2020,Kortezubi,Vespa Velutina,48907,3,2019
2020,Larrabetzu,Vespa Velutina,48052,3,2019
2020,Laukiz,Vespa Velutina,48053,3,2019
2020,Leioa,Vespa Velutina,48054,3,2019
2020,Lekeitio,Vespa Velutina,48057,3,2019
2020,Lemoa,Vespa Velutina,48055,3,2019
2020,Lemoiz,Vespa Velutina,48056,3,2019
2020,Lezama,Vespa Velutina,48081,3,2019
2020,Loiu,Vespa Velutina,48903,3,2019
2020,Mallabia,Vespa Velutina,48058,3,2019
2020,Markina-Xemein,Vespa Velutina,48060,3,2019
2020,Maruri-Jatabe,Vespa Velutina,48061,3,2019
2020,MaÃ±aria,Vespa Velutina,48059,3,2019
2020,Mendata,Vespa Velutina,48062,3,2019
2020,Mendexa,Vespa Velutina,48063,3,2019
2020,MeÃ±aka,Vespa Velutina,48064,3,2019
2020,Morga,Vespa Velutina,48066,3,2019
2020,Mundaka,Vespa Velutina,48068,3,2019
2020,Mungia,Vespa Velutina,48069,3,2019
2020,Munitibar-Arbatzegi Gerrikaitz,Vespa Velutina,48007,3,2019
2020,Murueta,Vespa Velutina,48908,3,2019
2020,Muskiz,Vespa Velutina,48071,3,2019
2020,Muxika,Vespa Velutina,48067,3,2019
2020,Nabarniz,Vespa Velutina,48909,3,2019
2020,Ondarroa,Vespa Velutina,48073,3,2019
2020,Orozko,Vespa Velutina,48075,3,2019
2020,Ortuella,Vespa Velutina,48083,3,2019
2020,Otxandio,Vespa Velutina,48072,3,2019
2020,Plentzia,Vespa Velutina,48077,3,2019
2020,Portugalete,Vespa Velutina,48078,3,2019
2020,Santurtzi,Vespa Velutina,48082,3,2019
2020,Sestao,Vespa Velutina,48084,3,2019
2020,Sondika,Vespa Velutina,48904,3,2019
2020,Sopela,Vespa Velutina,48085,3,2019
2020,Sopuerta,Vespa Velutina,48086,3,2019
2020,Sukarrieta,Vespa Velutina,48076,3,2019
2020,Trucios-Turtzioz,Vespa Velutina,48087,3,2019
2020,Ubide,Vespa Velutina,48088,3,2019
2020,Ugao-Miraballes,Vespa Velutina,48065,3,2019
2020,Urduliz,Vespa Velutina,48089,3,2019
2020,UrduÃ±a/OrduÃ±a,Vespa Velutina,48074,3,2019
2020,Valle de TrÃ¡paga-Trapagaran,Vespa Velutina,48080,3,2019
2020,Zaldibar,Vespa Velutina,48095,3,2019
2020,Zalla,Vespa Velutina,48096,3,2019
2020,Zamudio,Vespa Velutina,48905,3,2019
2020,Zaratamo,Vespa Velutina,48097,3,2019
2020,Zeanuri,Vespa Velutina,48024,3,2019
2020,Zeberio,Vespa Velutina,48025,3,2019
2020,Zierbena,Vespa Velutina,48913,3,2019
2020,Ziortza-Bolibar,Vespa Velutina,48915,3,2019
2020,Lanestosa,Vespa Velutina,48051,3,2019
2020,AbadiÃ±o,Vespa Velutina,48001,4,2019
2020,Abanto y CiÃ©rvana-Abanto Zierbena,Vespa Velutina,48002,4,2019
2020,Ajangiz,Vespa Velutina,48911,4,2019
2020,Alonsotegi,Vespa Velutina,48912,4,2019
2020,Amorebieta-Etxano,Vespa Velutina,48003,4,2019
2020,Amoroto,Vespa Velutina,48004,4,2019
2020,Arakaldo,Vespa Velutina,48005,4,2019
2020,Arantzazu,Vespa Velutina,48006,4,2019
2020,Areatza,Vespa Velutina,48093,4,2019
2020,Arrankudiaga,Vespa Velutina,48009,4,2019
2020,Arratzu,Vespa Velutina,48914,4,2019
2020,Arrieta,Vespa Velutina,48010,4,2019
2020,Arrigorriaga,Vespa Velutina,48011,4,2019
2020,Artea,Vespa Velutina,48023,4,2019
2020,Artzentales,Vespa Velutina,48008,4,2019
2020,Atxondo,Vespa Velutina,48091,4,2019
2020,Aulesti,Vespa Velutina,48070,4,2019
2020,Bakio,Vespa Velutina,48012,4,2019
2020,Balmaseda,Vespa Velutina,48090,4,2019
2020,Barakaldo,Vespa Velutina,48013,4,2019
2020,Barrika,Vespa Velutina,48014,4,2019
2020,Basauri,Vespa Velutina,48015,4,2019
2020,Bedia,Vespa Velutina,48092,4,2019
2020,Berango,Vespa Velutina,48016,4,2019
2020,Bermeo,Vespa Velutina,48017,4,2019
2020,Berriatua,Vespa Velutina,48018,4,2019
2020,Berriz,Vespa Velutina,48019,4,2019
2020,Busturia,Vespa Velutina,48021,4,2019
2020,Derio,Vespa Velutina,48901,4,2019
2020,Dima,Vespa Velutina,48026,4,2019
2020,Durango,Vespa Velutina,48027,4,2019
2020,Ea,Vespa Velutina,48028,4,2019
2020,Elantxobe,Vespa Velutina,48031,4,2019
2020,Elorrio,Vespa Velutina,48032,4,2019
2020,Erandio,Vespa Velutina,48902,4,2019
2020,EreÃ±o,Vespa Velutina,48033,4,2019
2020,Ermua,Vespa Velutina,48034,4,2019
2020,Errigoiti,Vespa Velutina,48079,4,2019
2020,Etxebarri,Vespa Velutina,48029,4,2019
2020,Etxebarria,Vespa Velutina,48030,4,2019
2020,Forua,Vespa Velutina,48906,4,2019
2020,Fruiz,Vespa Velutina,48035,4,2019
2020,Galdakao,Vespa Velutina,48036,4,2019
2020,Galdames,Vespa Velutina,48037,4,2019
2020,Gamiz-Fika,Vespa Velutina,48038,4,2019
2020,Garai,Vespa Velutina,48039,4,2019
2020,Gatika,Vespa Velutina,48040,4,2019
2020,Gautegiz Arteaga,Vespa Velutina,48041,4,2019
2020,Gernika-Lumo,Vespa Velutina,48046,4,2019
2020,Getxo,Vespa Velutina,48044,4,2019
2020,Gizaburuaga,Vespa Velutina,48047,4,2019
2020,Gordexola,Vespa Velutina,48042,4,2019
2020,Gorliz,Vespa Velutina,48043,4,2019
2020,GÃ¼eÃ±es,Vespa Velutina,48045,4,2019
2020,Ibarrangelu,Vespa Velutina,48048,4,2019
2020,Igorre,Vespa Velutina,48094,4,2019
2020,Ispaster,Vespa Velutina,48049,4,2019
2020,Iurreta,Vespa Velutina,48910,4,2019
2020,Izurtza,Vespa Velutina,48050,4,2019
2020,Karrantza Harana/Valle de Carranza,Vespa Velutina,48022,4,2019
2020,Kortezubi,Vespa Velutina,48907,4,2019
2020,Larrabetzu,Vespa Velutina,48052,4,2019
2020,Laukiz,Vespa Velutina,48053,4,2019
2020,Leioa,Vespa Velutina,48054,4,2019
2020,Lekeitio,Vespa Velutina,48057,4,2019
2020,Lemoa,Vespa Velutina,48055,4,2019
2020,Lemoiz,Vespa Velutina,48056,4,2019
2020,Lezama,Vespa Velutina,48081,4,2019
2020,Loiu,Vespa Velutina,48903,4,2019
2020,Mallabia,Vespa Velutina,48058,4,2019
2020,Markina-Xemein,Vespa Velutina,48060,4,2019
2020,Maruri-Jatabe,Vespa Velutina,48061,4,2019
2020,MaÃ±aria,Vespa Velutina,48059,4,2019
2020,Mendata,Vespa Velutina,48062,4,2019
2020,Mendexa,Vespa Velutina,48063,4,2019
2020,MeÃ±aka,Vespa Velutina,48064,4,2019
2020,Morga,Vespa Velutina,48066,4,2019
2020,Mundaka,Vespa Velutina,48068,4,2019
2020,Mungia,Vespa Velutina,48069,4,2019
2020,Munitibar-Arbatzegi Gerrikaitz,Vespa Velutina,48007,4,2019
2020,Murueta,Vespa Velutina,48908,4,2019
2020,Muskiz,Vespa Velutina,48071,4,2019
2020,Muxika,Vespa Velutina,48067,4,2019
2020,Nabarniz,Vespa Velutina,48909,4,2019
2020,Ondarroa,Vespa Velutina,48073,4,2019
2020,Orozko,Vespa Velutina,48075,4,2019
2020,Ortuella,Vespa Velutina,48083,4,2019
2020,Otxandio,Vespa Velutina,48072,4,2019
2020,Plentzia,Vespa Velutina,48077,4,2019
2020,Portugalete,Vespa Velutina,48078,4,2019
2020,Santurtzi,Vespa Velutina,48082,4,2019
2020,Sestao,Vespa Velutina,48084,4,2019
2020,Sondika,Vespa Velutina,48904,4,2019
2020,Sopela,Vespa Velutina,48085,4,2019
2020,Sopuerta,Vespa Velutina,48086,4,2019
2020,Sukarrieta,Vespa Velutina,48076,4,2019
2020,Trucios-Turtzioz,Vespa Velutina,48087,4,2019
2020,Ubide,Vespa Velutina,48088,4,2019
2020,Ugao-Miraballes,Vespa Velutina,48065,4,2019
2020,Urduliz,Vespa Velutina,48089,4,2019
2020,UrduÃ±a/OrduÃ±a,Vespa Velutina,48074,4,2019
2020,Valle de TrÃ¡paga-Trapagaran,Vespa Velutina,48080,4,2019
2020,Zaldibar,Vespa Velutina,48095,4,2019
2020,Zalla,Vespa Velutina,48096,4,2019
2020,Zamudio,Vespa Velutina,48905,4,2019
2020,Zaratamo,Vespa Velutina,48097,4,2019
2020,Zeanuri,Vespa Velutina,48024,4,2019
2020,Zeberio,Vespa Velutina,48025,4,2019
2020,Zierbena,Vespa Velutina,48913,4,2019
2020,Ziortza-Bolibar,Vespa Velutina,48915,4,2019
2020,Lanestosa,Vespa Velutina,48051,4,2019
2020,AbadiÃ±o,Vespa Velutina,48001,5,2019
2020,Abanto y CiÃ©rvana-Abanto Zierbena,Vespa Velutina,48002,5,2019
2020,Ajangiz,Vespa Velutina,48911,5,2019
2020,Alonsotegi,Vespa Velutina,48912,5,2019
2020,Amorebieta-Etxano,Vespa Velutina,48003,5,2019
2020,Amoroto,Vespa Velutina,48004,5,2019
2020,Arakaldo,Vespa Velutina,48005,5,2019
2020,Arantzazu,Vespa Velutina,48006,5,2019
2020,Areatza,Vespa Velutina,48093,5,2019
2020,Arrankudiaga,Vespa Velutina,48009,5,2019
2020,Arratzu,Vespa Velutina,48914,5,2019
2020,Arrieta,Vespa Velutina,48010,5,2019
2020,Arrigorriaga,Vespa Velutina,48011,5,2019
2020,Artea,Vespa Velutina,48023,5,2019
2020,Artzentales,Vespa Velutina,48008,5,2019
2020,Atxondo,Vespa Velutina,48091,5,2019
2020,Aulesti,Vespa Velutina,48070,5,2019
2020,Bakio,Vespa Velutina,48012,5,2019
2020,Balmaseda,Vespa Velutina,48090,5,2019
2020,Barakaldo,Vespa Velutina,48013,5,2019
2020,Barrika,Vespa Velutina,48014,5,2019
2020,Basauri,Vespa Velutina,48015,5,2019
2020,Bedia,Vespa Velutina,48092,5,2019
2020,Berango,Vespa Velutina,48016,5,2019
2020,Bermeo,Vespa Velutina,48017,5,2019
2020,Berriatua,Vespa Velutina,48018,5,2019
2020,Berriz,Vespa Velutina,48019,5,2019
2020,Busturia,Vespa Velutina,48021,5,2019
2020,Derio,Vespa Velutina,48901,5,2019
2020,Dima,Vespa Velutina,48026,5,2019
2020,Durango,Vespa Velutina,48027,5,2019
2020,Ea,Vespa Velutina,48028,5,2019
2020,Elantxobe,Vespa Velutina,48031,5,2019
2020,Elorrio,Vespa Velutina,48032,5,2019
2020,Erandio,Vespa Velutina,48902,5,2019
2020,EreÃ±o,Vespa Velutina,48033,5,2019
2020,Ermua,Vespa Velutina,48034,5,2019
2020,Errigoiti,Vespa Velutina,48079,5,2019
2020,Etxebarri,Vespa Velutina,48029,5,2019
2020,Etxebarria,Vespa Velutina,48030,5,2019
2020,Forua,Vespa Velutina,48906,5,2019
2020,Fruiz,Vespa Velutina,48035,5,2019
2020,Galdakao,Vespa Velutina,48036,5,2019
2020,Galdames,Vespa Velutina,48037,5,2019
2020,Gamiz-Fika,Vespa Velutina,48038,5,2019
2020,Garai,Vespa Velutina,48039,5,2019
2020,Gatika,Vespa Velutina,48040,5,2019
2020,Gautegiz Arteaga,Vespa Velutina,48041,5,2019
2020,Gernika-Lumo,Vespa Velutina,48046,5,2019
2020,Getxo,Vespa Velutina,48044,5,2019
2020,Gizaburuaga,Vespa Velutina,48047,5,2019
2020,Gordexola,Vespa Velutina,48042,5,2019
2020,Gorliz,Vespa Velutina,48043,5,2019
2020,GÃ¼eÃ±es,Vespa Velutina,48045,5,2019
2020,Ibarrangelu,Vespa Velutina,48048,5,2019
2020,Igorre,Vespa Velutina,48094,5,2019
2020,Ispaster,Vespa Velutina,48049,5,2019
2020,Iurreta,Vespa Velutina,48910,5,2019
2020,Izurtza,Vespa Velutina,48050,5,2019
2020,Karrantza Harana/Valle de Carranza,Vespa Velutina,48022,5,2019
2020,Kortezubi,Vespa Velutina,48907,5,2019
2020,Larrabetzu,Vespa Velutina,48052,5,2019
2020,Laukiz,Vespa Velutina,48053,5,2019
2020,Leioa,Vespa Velutina,48054,5,2019
2020,Lekeitio,Vespa Velutina,48057,5,2019
2020,Lemoa,Vespa Velutina,48055,5,2019
2020,Lemoiz,Vespa Velutina,48056,5,2019
2020,Lezama,Vespa Velutina,48081,5,2019
2020,Loiu,Vespa Velutina,48903,5,2019
2020,Mallabia,Vespa Velutina,48058,5,2019
